src,dst,time
0,1,0.0
2,3,0.0
4,1,0.0
5,6,0.0
7,8,0.0
9,10,0.0
6,11,0.0
12,13,0.0
14,15,0.0
14,15,0.0
13,12,0.0
16,17,0.0
16,17,0.0
18,2,0.0
2,18,0.0
2,18,0.0
19,13,0.0
20,12,0.0
15,14,0.0
15,14,0.0
21,22,0.0
23,24,0.0
23,25,0.0
26,27,0.0
24,25,0.0
28,29,0.0
25,30,0.0
25,24,0.0
31,32,0.0
33,34,0.0
33,34,0.0
12,35,0.0
36,37,0.0
12,7,0.0
12,13,0.0
12,38,0.0
12,39,0.0
12,40,0.0
12,40,0.0
36,41,0.0
36,41,0.0
12,4,0.0
12,4,0.0
12,42,0.0
12,42,0.0
35,12,0.0
35,12,0.0
37,12,0.0
37,43,0.0
36,39,0.0
12,44,0.0
14,45,0.0
14,46,0.0
14,47,0.0
48,44,0.0
49,8,0.0
50,51,0.0
52,53,0.0
52,54,0.0
52,55,0.0
56,57,0.0
56,57,0.0
52,4,0.0
52,4,0.0
58,59,0.0
58,60,0.0
58,60,0.0
58,61,0.0
62,63,0.0
64,63,0.0
62,63,0.0
62,31,0.0
65,66,0.0
65,67,0.0
68,7,0.0
69,7,0.0
68,7,0.0
68,7,0.0
68,7,0.0
69,7,0.0
68,4,0.0
68,70,0.0
69,70,0.0
68,4,0.0
71,72,0.0
71,72,0.0
73,74,0.0
73,74,0.0
73,74,0.0
73,75,0.0
73,75,0.0
73,75,0.0
73,76,0.0
73,76,0.0
73,76,0.0
77,78,0.0
79,40,0.0
79,40,0.0
51,80,0.0
81,82,0.0
83,3,0.0
84,85,0.0
84,85,0.0
86,87,0.0
86,87,0.0
81,88,0.0
89,90,0.0
91,44,0.0
86,92,0.0
81,4,0.0
81,93,0.0
80,51,0.0
94,94,0.0
74,73,0.0
74,73,0.0
74,73,0.0
74,77,0.0
95,74,0.0
95,96,0.0
74,78,0.0
74,78,0.0
74,78,0.0
74,75,0.0
74,75,0.0
74,75,0.0
74,76,0.0
74,76,0.0
74,76,0.0
97,75,0.0
98,99,0.0
100,101,0.0
100,101,0.0
100,101,0.0
102,103,0.0
102,103,0.0
7,12,0.0
13,12,0.0
7,56,0.0
7,68,0.0
7,69,0.0
7,104,0.0
7,105,0.0
7,106,0.0
7,82,0.0
7,82,0.0
7,0,0.0
7,107,0.0
7,107,0.0
108,109,0.0
108,109,0.0
7,110,0.0
7,110,0.0
108,111,0.0
112,24,0.0
112,24,0.0
112,24,0.0
113,114,0.0
7,115,0.0
7,115,0.0
16,116,0.0
7,6,0.0
7,117,0.0
108,4,0.0
7,118,0.0
119,4,0.0
119,120,0.0
108,4,0.0
13,4,0.0
119,4,0.0
7,21,0.0
121,4,0.0
7,4,0.0
7,4,0.0
121,4,0.0
13,122,0.0
119,123,0.0
106,7,0.0
82,124,0.0
82,124,0.0
82,125,0.0
82,126,0.0
82,126,0.0
82,127,0.0
82,6,0.0
128,52,0.0
128,52,0.0
3,58,0.0
3,58,0.0
129,130,0.0
131,132,0.0
129,130,0.0
133,134,0.0
128,57,0.0
135,136,0.0
137,138,0.0
133,139,0.0
133,139,0.0
140,93,0.0
140,4,0.0
141,142,0.0
141,143,0.0
144,145,0.0
141,146,0.0
144,4,0.0
144,4,0.0
147,148,0.0
147,148,0.0
149,144,0.0
141,141,0.0
141,143,0.0
150,63,0.0
151,152,0.0
153,154,0.0
1,155,0.0
156,157,0.0
153,158,0.0
153,159,0.0
153,2,0.0
160,161,0.0
160,24,0.0
160,24,0.0
162,40,0.0
1,163,0.0
1,4,0.0
1,164,0.0
1,164,0.0
1,164,0.0
160,4,0.0
160,4,0.0
160,165,0.0
166,167,0.0
166,167,0.0
168,169,0.0
72,170,0.0
155,171,0.0
63,64,0.0
63,150,0.0
172,173,0.0
63,150,0.0
174,172,0.0
63,175,0.0
172,30,0.0
172,30,0.0
172,30,0.0
172,30,0.0
174,174,0.0
176,149,0.0
176,149,0.0
175,63,0.0
175,63,0.0
175,125,0.0
175,2,0.0
175,177,0.0
175,177,0.0
178,4,0.0
179,16,0.0
180,85,0.0
180,85,0.0
53,52,0.0
0,56,0.0
181,62,0.0
181,64,0.0
182,104,0.0
85,183,0.0
85,183,0.0
30,137,0.0
30,137,0.0
30,137,0.0
0,128,0.0
30,172,0.0
30,172,0.0
125,178,0.0
125,175,0.0
125,178,0.0
85,180,0.0
53,184,0.0
185,186,0.0
185,186,0.0
187,54,0.0
187,54,0.0
23,188,0.0
23,188,0.0
23,188,0.0
189,190,0.0
185,191,0.0
0,191,0.0
53,191,0.0
30,99,0.0
158,192,0.0
158,126,0.0
158,24,0.0
158,24,0.0
23,24,0.0
158,167,0.0
193,57,0.0
85,44,0.0
85,44,0.0
158,44,0.0
182,44,0.0
23,194,0.0
125,177,0.0
158,177,0.0
158,195,0.0
182,169,0.0
182,169,0.0
196,169,0.0
196,75,0.0
158,197,0.0
158,197,0.0
198,199,0.0
30,4,0.0
85,4,0.0
200,4,0.0
193,92,0.0
200,4,0.0
30,4,0.0
201,4,0.0
30,4,0.0
30,4,0.0
85,202,0.0
85,4,0.0
85,4,0.0
85,202,0.0
85,4,0.0
0,4,0.0
85,4,0.0
85,4,0.0
85,4,0.0
30,4,0.0
30,203,0.0
158,204,0.0
184,53,0.0
205,22,0.0
205,22,0.0
8,49,0.0
8,56,0.0
8,162,0.0
88,28,0.0
206,4,0.0
8,171,0.0
8,20,0.0
8,207,0.0
8,208,0.0
8,171,0.0
8,208,0.0
209,210,0.0
211,30,0.0
212,158,0.0
211,212,0.0
213,158,0.0
214,215,0.0
214,215,0.0
214,215,0.0
46,14,0.0
46,60,0.0
216,217,0.0
216,217,0.0
218,22,0.0
218,22,0.0
218,75,0.0
218,75,0.0
54,52,0.0
219,220,0.0
54,178,0.0
54,175,0.0
221,87,0.0
222,2,0.0
222,2,0.0
54,177,0.0
54,177,0.0
188,23,0.0
188,23,0.0
223,213,0.0
159,153,0.0
159,153,0.0
191,185,0.0
190,191,0.0
191,9,0.0
191,4,0.0
191,158,0.0
191,53,0.0
22,224,0.0
22,225,0.0
226,205,0.0
226,205,0.0
22,99,0.0
22,99,0.0
226,99,0.0
22,99,0.0
22,130,0.0
22,90,0.0
22,75,0.0
22,75,0.0
22,75,0.0
22,75,0.0
22,21,0.0
22,21,0.0
22,4,0.0
22,4,0.0
22,4,0.0
22,4,0.0
226,205,0.0
226,205,0.0
22,22,0.0
22,22,0.0
22,110,0.0
99,98,0.0
32,158,0.0
99,30,0.0
99,30,0.0
99,22,0.0
99,22,0.0
99,226,0.0
99,22,0.0
99,227,0.0
99,227,0.0
32,90,0.0
32,90,0.0
32,90,0.0
32,228,0.0
32,11,0.0
32,228,0.0
32,228,0.0
32,228,0.0
32,11,0.0
32,11,0.0
229,199,0.0
32,230,0.0
99,4,0.0
99,4,0.0
32,22,0.0
99,99,0.0
32,230,0.0
107,51,0.0
107,7,0.0
107,231,0.0
107,231,0.0
107,232,0.0
233,182,0.0
107,107,0.0
107,107,0.0
107,107,0.0
107,107,0.0
234,107,0.0
234,107,0.0
234,107,0.0
234,235,0.0
234,235,0.0
107,136,0.0
107,236,0.0
107,236,0.0
107,236,0.0
107,136,0.0
107,115,0.0
233,115,0.0
233,115,0.0
233,115,0.0
107,236,0.0
107,236,0.0
107,136,0.0
107,136,0.0
107,136,0.0
234,115,0.0
233,115,0.0
234,115,0.0
234,115,0.0
107,137,0.0
107,137,0.0
107,115,0.0
107,115,0.0
107,107,0.0
107,107,0.0
107,115,0.0
107,115,0.0
107,136,0.0
107,231,0.0
107,231,0.0
107,231,0.0
107,107,0.0
107,107,0.0
234,237,0.0
238,239,0.0
238,239,0.0
238,239,0.0
238,239,0.0
238,239,0.0
238,239,0.0
240,39,0.0
2,153,0.0
2,222,0.0
2,222,0.0
241,30,0.0
241,30,0.0
241,125,0.0
241,30,0.0
241,30,0.0
242,107,0.0
243,244,0.0
242,115,0.0
237,4,0.0
243,4,0.0
245,246,0.0
243,4,0.0
243,4,0.0
237,4,0.0
242,4,0.0
242,4,0.0
237,4,0.0
243,165,0.0
243,165,0.0
247,86,0.0
247,248,0.0
192,7,0.0
249,250,0.0
55,4,0.0
251,6,0.0
239,238,0.0
239,238,0.0
252,7,0.0
252,142,0.0
132,131,0.0
253,30,0.0
254,255,0.0
253,256,0.0
132,257,0.0
130,22,0.0
258,44,0.0
130,4,0.0
130,4,0.0
253,4,0.0
252,4,0.0
259,133,0.0
109,260,0.0
109,260,0.0
110,81,0.0
110,7,0.0
9,128,0.0
261,262,0.0
110,232,0.0
110,232,0.0
263,264,0.0
263,265,0.0
263,265,0.0
110,192,0.0
110,192,0.0
261,230,0.0
110,4,0.0
110,4,0.0
126,266,0.0
267,4,0.0
267,4,0.0
268,4,0.0
66,4,0.0
110,4,0.0
126,4,0.0
126,266,0.0
110,4,0.0
110,4,0.0
126,21,0.0
269,270,0.0
78,77,0.0
78,74,0.0
78,74,0.0
39,7,0.0
39,131,0.0
39,131,0.0
271,226,0.0
227,99,0.0
227,99,0.0
272,273,0.0
274,275,0.0
276,6,0.0
277,4,0.0
134,7,0.0
134,7,0.0
278,279,0.0
278,279,0.0
280,175,0.0
281,4,0.0
281,266,0.0
90,200,0.0
90,32,0.0
90,282,0.0
90,282,0.0
283,44,0.0
284,99,0.0
282,99,0.0
282,90,0.0
282,90,0.0
282,90,0.0
285,51,0.0
286,7,0.0
287,153,0.0
288,33,0.0
288,33,0.0
161,160,0.0
24,158,0.0
24,158,0.0
24,258,0.0
167,289,0.0
167,289,0.0
24,290,0.0
167,289,0.0
167,291,0.0
167,291,0.0
167,291,0.0
24,160,0.0
24,25,0.0
292,290,0.0
292,290,0.0
292,290,0.0
293,44,0.0
294,107,0.0
294,107,0.0
294,295,0.0
294,295,0.0
294,115,0.0
296,40,0.0
297,231,0.0
297,231,0.0
297,234,0.0
297,234,0.0
298,299,0.0
300,51,0.0
301,4,0.0
40,12,0.0
40,12,0.0
40,79,0.0
40,79,0.0
40,74,0.0
40,302,0.0
40,296,0.0
40,57,0.0
40,57,0.0
40,303,0.0
40,303,0.0
40,303,0.0
57,193,0.0
57,40,0.0
57,40,0.0
57,4,0.0
304,304,0.0
305,119,0.0
305,4,0.0
41,36,0.0
41,36,0.0
44,12,0.0
44,158,0.0
44,85,0.0
44,158,0.0
44,85,0.0
44,85,0.0
273,306,0.0
273,306,0.0
273,272,0.0
44,283,0.0
44,293,0.0
28,44,0.0
28,44,0.0
273,307,0.0
273,307,0.0
273,308,0.0
44,307,0.0
273,308,0.0
273,309,0.0
273,309,0.0
44,307,0.0
273,309,0.0
44,255,0.0
44,309,0.0
310,311,0.0
310,137,0.0
312,4,0.0
136,51,0.0
136,51,0.0
115,7,0.0
115,137,0.0
115,137,0.0
115,231,0.0
115,231,0.0
115,231,0.0
115,231,0.0
115,232,0.0
115,107,0.0
136,107,0.0
236,107,0.0
236,107,0.0
236,107,0.0
136,107,0.0
115,107,0.0
136,234,0.0
115,234,0.0
115,107,0.0
115,107,0.0
136,107,0.0
136,107,0.0
115,107,0.0
136,107,0.0
115,107,0.0
115,107,0.0
115,107,0.0
115,107,0.0
136,295,0.0
136,235,0.0
115,115,0.0
136,115,0.0
136,146,0.0
136,146,0.0
115,137,0.0
115,137,0.0
115,136,0.0
136,8,0.0
217,216,0.0
177,175,0.0
177,178,0.0
101,100,0.0
313,290,0.0
75,73,0.0
75,73,0.0
75,73,0.0
75,74,0.0
75,74,0.0
75,74,0.0
75,97,0.0
169,96,0.0
169,182,0.0
169,182,0.0
75,22,0.0
75,22,0.0
75,22,0.0
75,22,0.0
75,22,0.0
75,75,0.0
75,75,0.0
75,314,0.0
75,76,0.0
75,76,0.0
75,76,0.0
315,316,0.0
75,21,0.0
75,169,0.0
75,169,0.0
307,317,0.0
309,318,0.0
307,273,0.0
