src,dst,time
0.0,980.0,0.0
1.0,981.0,54.0
1.0,982.0,306.0
2.0,983.0,479.0
1.0,984.0,522.0
1.0,985.0,728.0
3.0,986.0,3714.0
3.0,987.0,4398.0
3.0,988.0,5362.0
3.0,989.0,6419.0
4.0,990.0,7417.0
5.0,991.0,8419.0
2.0,983.0,14959.0
4.0,992.0,15007.0
1.0,993.0,17427.0
1.0,994.0,17724.0
1.0,995.0,18006.0
1.0,996.0,18288.0
4.0,997.0,18344.0
1.0,998.0,18531.0
5.0,999.0,18636.0
1.0,981.0,18808.0
1.0,982.0,19060.0
5.0,1000.0,20195.0
0.0,1001.0,23181.0
5.0,1002.0,25230.0
6.0,1003.0,26021.0
7.0,1004.0,28741.0
0.0,1005.0,29377.0
3.0,1006.0,29396.0
0.0,1007.0,30174.0
0.0,1008.0,30741.0
6.0,987.0,31095.0
0.0,1009.0,31116.0
8.0,1010.0,36561.0
8.0,1011.0,37101.0
9.0,1012.0,39638.0
6.0,1003.0,39934.0
10.0,1013.0,41282.0
11.0,1014.0,42829.0
12.0,1015.0,43229.0
12.0,1016.0,43469.0
12.0,1017.0,43880.0
12.0,1018.0,44100.0
12.0,1019.0,44300.0
12.0,1020.0,44511.0
11.0,1021.0,44649.0
12.0,1022.0,44942.0
12.0,1023.0,45122.0
13.0,1024.0,45193.0
12.0,1025.0,45313.0
12.0,1015.0,45553.0
12.0,1016.0,45803.0
12.0,1017.0,46214.0
12.0,1018.0,46434.0
12.0,1019.0,46634.0
12.0,1020.0,46844.0
12.0,1022.0,47274.0
12.0,1023.0,47454.0
12.0,1025.0,47644.0
10.0,1013.0,50457.0
8.0,1026.0,51526.0
8.0,1012.0,51929.0
12.0,1015.0,55839.0
12.0,1016.0,56079.0
12.0,1017.0,56490.0
14.0,1027.0,56545.0
12.0,1018.0,56711.0
14.0,1028.0,56832.0
12.0,1019.0,56911.0
15.0,1029.0,57110.0
12.0,1020.0,57121.0
12.0,1022.0,57551.0
12.0,1023.0,57731.0
12.0,1025.0,57921.0
12.0,1015.0,58162.0
14.0,1027.0,58178.0
14.0,1028.0,58464.0
16.0,1030.0,58588.0
12.0,1016.0,58892.0
14.0,1028.0,58963.0
16.0,1031.0,59117.0
12.0,1017.0,59312.0
13.0,1026.0,59508.0
12.0,1018.0,59532.0
14.0,1027.0,59688.0
12.0,1019.0,59803.0
