src,dst,time
0.0,980.0,0.0
0.0,981.0,6.0
0.0,982.0,41.0
0.0,981.0,49.0
0.0,982.0,51.0
0.0,983.0,55.0
0.0,984.0,59.0
0.0,985.0,62.0
0.0,986.0,65.0
0.0,987.0,113.0
0.0,988.0,226.0
0.0,989.0,974.0
0.0,980.0,1000.0
0.0,989.0,1172.0
0.0,982.0,1182.0
0.0,981.0,1185.0
0.0,990.0,1687.0
1.0,990.0,7262.0
1.0,981.0,7266.0
1.0,982.0,7273.0
1.0,987.0,7289.0
1.0,980.0,7299.0
1.0,991.0,7319.0
1.0,992.0,7839.0
1.0,991.0,7846.0
2.0,981.0,37868.0
3.0,981.0,37953.0
4.0,981.0,37969.0
4.0,983.0,38018.0
3.0,990.0,38113.0
3.0,983.0,38126.0
5.0,981.0,38170.0
5.0,983.0,38184.0
6.0,981.0,38218.0
7.0,981.0,38219.0
5.0,988.0,38239.0
3.0,993.0,38246.0
8.0,981.0,38260.0
6.0,983.0,38261.0
7.0,981.0,38287.0
6.0,981.0,38308.0
6.0,982.0,38327.0
6.0,987.0,38340.0
9.0,981.0,38414.0
7.0,990.0,38455.0
7.0,989.0,38472.0
6.0,994.0,38581.0
7.0,983.0,38583.0
6.0,994.0,38597.0
6.0,987.0,38606.0
6.0,994.0,38615.0
6.0,989.0,38623.0
10.0,981.0,38680.0
6.0,988.0,38696.0
10.0,983.0,38700.0
6.0,983.0,38704.0
4.0,984.0,38724.0
4.0,993.0,38725.0
4.0,988.0,38736.0
4.0,985.0,38753.0
11.0,981.0,38819.0
12.0,981.0,38820.0
12.0,983.0,38826.0
11.0,981.0,38833.0
11.0,983.0,38842.0
13.0,981.0,38900.0
13.0,983.0,38905.0
12.0,989.0,38906.0
12.0,993.0,38906.0
12.0,989.0,38923.0
12.0,987.0,38931.0
12.0,988.0,38941.0
14.0,981.0,39047.0
14.0,982.0,39065.0
14.0,981.0,39073.0
13.0,984.0,39105.0
13.0,993.0,39105.0
14.0,983.0,39113.0
14.0,989.0,39133.0
14.0,993.0,39133.0
14.0,989.0,39157.0
13.0,988.0,39161.0
14.0,987.0,39162.0
15.0,981.0,39164.0
15.0,982.0,39190.0
13.0,995.0,39193.0
16.0,981.0,39193.0
15.0,983.0,39197.0
17.0,981.0,39220.0
13.0,988.0,39229.0
13.0,985.0,39232.0
15.0,993.0,39241.0
18.0,981.0,39251.0
13.0,984.0,39253.0
13.0,996.0,39254.0
17.0,990.0,39258.0
18.0,983.0,39273.0
