src,dst,time
1.0,10001.0,0.0
2.0,10002.0,6.32
3.0,10003.0,7.026
4.0,10003.0,13.599
5.0,10004.0,16.811
6.0,10005.0,18.043
7.0,10006.0,19.55
8.0,10007.0,27.476
9.0,10003.0,28.95
10.0,10008.0,37.69
11.0,10009.0,38.864000000000004
12.0,10010.0,40.405
13.0,10011.0,41.336999999999996
14.0,10007.0,45.702
15.0,10012.0,48.004
16.0,10003.0,50.555
17.0,10013.0,65.132
18.0,10014.0,77.359
19.0,10011.0,78.694
20.0,10015.0,84.62100000000001
21.0,10016.0,91.935
22.0,10017.0,94.221
23.0,10003.0,103.225
24.0,10018.0,105.64
25.0,10019.0,111.255
26.0,10016.0,113.523
27.0,10020.0,114.469
28.0,10007.0,115.435
29.0,10021.0,122.671
30.0,10022.0,158.384
31.0,10003.0,164.347
32.0,10003.0,167.998
33.0,10023.0,177.56099999999998
34.0,10003.0,178.429
35.0,10003.0,184.692
36.0,10020.0,195.25900000000001
37.0,10003.0,198.486
38.0,10024.0,200.715
39.0,10025.0,201.34400000000002
40.0,10003.0,212.165
41.0,10026.0,218.11700000000002
42.0,10011.0,220.28
43.0,10027.0,223.063
44.0,10028.0,231.268
45.0,10007.0,232.39
46.0,10029.0,240.46099999999998
47.0,10003.0,246.146
48.0,10030.0,250.61700000000002
49.0,10003.0,250.68099999999998
50.0,10031.0,251.803
51.0,10032.0,268.28
52.0,10033.0,270.798
53.0,10034.0,277.17400000000004
54.0,10035.0,281.796
55.0,10036.0,285.323
56.0,10003.0,287.29
57.0,10033.0,292.379
58.0,10003.0,292.995
59.0,10009.0,294.1
60.0,10037.0,299.765
61.0,10038.0,299.934
62.0,10007.0,302.51
63.0,10039.0,302.57099999999997
64.0,10040.0,309.795
51.0,10041.0,313.961
65.0,10003.0,316.881
66.0,10034.0,321.644
67.0,10042.0,328.402
68.0,10043.0,329.194
69.0,10044.0,333.264
70.0,10045.0,335.458
71.0,10046.0,339.88
72.0,10047.0,341.065
73.0,10048.0,346.23900000000003
74.0,10007.0,349.273
75.0,10017.0,352.37800000000004
76.0,10003.0,357.215
49.0,10003.0,358.163
10.0,10008.0,363.148
77.0,10003.0,368.67699999999996
78.0,10003.0,371.754
79.0,10003.0,372.08
69.0,10049.0,374.475
80.0,10050.0,377.75
81.0,10048.0,399.93199999999996
55.0,10036.0,402.75199999999995
82.0,10051.0,411.898
83.0,10052.0,419.657
84.0,10033.0,424.314
44.0,10028.0,425.286
85.0,10053.0,429.69699999999995
86.0,10054.0,430.597
87.0,10055.0,439.9
14.0,10007.0,442.319
88.0,10056.0,445.33099999999996
89.0,10057.0,445.345
71.0,10046.0,445.545
90.0,10058.0,448.939
91.0,10003.0,453.246
92.0,10059.0,454.686
93.0,10060.0,457.866
90.0,10058.0,467.329
94.0,10008.0,475.00199999999995
95.0,10032.0,479.275
96.0,10047.0,482.731
