src,dst,time
1.0,8228.0,0.0
2.0,8229.0,36.0
2.0,8229.0,77.0
3.0,8230.0,131.0
2.0,8229.0,150.0
3.0,8230.0,153.0
4.0,8231.0,169.0
2.0,8229.0,217.0
5.0,8232.0,218.0
5.0,8232.0,242.0
6.0,8233.0,295.0
2.0,8229.0,300.0
2.0,8229.0,376.0
3.0,8230.0,380.0
7.0,8234.0,384.0
8.0,8228.0,384.0
4.0,8231.0,387.0
9.0,8235.0,395.0
2.0,8229.0,402.0
3.0,8230.0,402.0
3.0,8230.0,432.0
10.0,8236.0,454.0
2.0,8229.0,465.0
7.0,8234.0,563.0
5.0,8232.0,578.0
2.0,8229.0,623.0
4.0,8231.0,646.0
3.0,8230.0,674.0
2.0,8229.0,692.0
3.0,8230.0,715.0
11.0,8237.0,729.0
12.0,8238.0,742.0
4.0,8231.0,742.0
4.0,8231.0,809.0
13.0,8239.0,854.0
2.0,8229.0,854.0
5.0,8232.0,872.0
14.0,8240.0,904.0
15.0,8241.0,939.0
13.0,8239.0,959.0
2.0,8229.0,989.0
15.0,8241.0,1026.0
15.0,8241.0,1072.0
16.0,8242.0,1142.0
13.0,8239.0,1151.0
17.0,8243.0,1153.0
18.0,8244.0,1177.0
5.0,8232.0,1199.0
5.0,8232.0,1214.0
4.0,8231.0,1226.0
19.0,8245.0,1255.0
12.0,8238.0,1301.0
20.0,8246.0,1307.0
21.0,8247.0,1308.0
22.0,8248.0,1314.0
23.0,8249.0,1340.0
4.0,8231.0,1401.0
18.0,8250.0,1451.0
12.0,8238.0,1496.0
5.0,8232.0,1508.0
24.0,8251.0,1529.0
5.0,8232.0,1531.0
25.0,8252.0,1543.0
13.0,8239.0,1555.0
26.0,8253.0,1600.0
4.0,8231.0,1607.0
5.0,8232.0,1630.0
3.0,8230.0,1643.0
27.0,8254.0,1651.0
5.0,8232.0,1664.0
5.0,8232.0,1677.0
28.0,8255.0,1682.0
12.0,8238.0,1706.0
13.0,8239.0,1713.0
29.0,8256.0,1724.0
19.0,8245.0,1729.0
30.0,8257.0,1771.0
12.0,8238.0,1789.0
3.0,8230.0,1797.0
9.0,8235.0,1805.0
5.0,8232.0,1814.0
5.0,8232.0,1827.0
31.0,8258.0,1908.0
32.0,8259.0,1914.0
29.0,8256.0,1925.0
29.0,8256.0,1996.0
17.0,8250.0,2022.0
33.0,8260.0,2053.0
5.0,8232.0,2063.0
4.0,8231.0,2075.0
34.0,8261.0,2079.0
9.0,8235.0,2098.0
5.0,8232.0,2127.0
17.0,8250.0,2131.0
25.0,8252.0,2233.0
5.0,8232.0,2285.0
4.0,8231.0,2290.0
2.0,8229.0,2313.0
4.0,8231.0,2333.0
35.0,8262.0,2343.0
17.0,8250.0,2367.0
36.0,8263.0,2377.0
4.0,8231.0,2377.0
37.0,8264.0,2382.0
4.0,8231.0,2412.0
5.0,8232.0,2438.0
17.0,8250.0,2471.0
4.0,8231.0,2494.0
28.0,8255.0,2509.0
17.0,8250.0,2521.0
13.0,8239.0,2524.0
25.0,8252.0,2534.0
29.0,8256.0,2557.0
5.0,8232.0,2561.0
17.0,8250.0,2570.0
2.0,8229.0,2574.0
15.0,8241.0,2584.0
32.0,8259.0,2588.0
35.0,8262.0,2595.0
4.0,8231.0,2602.0
5.0,8232.0,2610.0
20.0,8261.0,2627.0
32.0,8259.0,2634.0
28.0,8255.0,2650.0
32.0,8259.0,2689.0
15.0,8241.0,2706.0
38.0,8265.0,2745.0
2.0,8229.0,2755.0
15.0,8241.0,2756.0
5.0,8232.0,2774.0
38.0,8265.0,2785.0
5.0,8232.0,2805.0
38.0,8265.0,2807.0
4.0,8231.0,2830.0
5.0,8232.0,2830.0
39.0,8261.0,2836.0
4.0,8231.0,2861.0
15.0,8241.0,2883.0
17.0,8250.0,2900.0
17.0,8250.0,2915.0
5.0,8232.0,2924.0
15.0,8241.0,2940.0
9.0,8235.0,2963.0
13.0,8239.0,2973.0
2.0,8229.0,2994.0
17.0,8250.0,3017.0
4.0,8231.0,3032.0
15.0,8241.0,3050.0
15.0,8241.0,3083.0
17.0,8250.0,3108.0
4.0,8231.0,3113.0
40.0,8266.0,3123.0
4.0,8231.0,3155.0
2.0,8229.0,3182.0
41.0,8245.0,3226.0
17.0,8250.0,3229.0
42.0,8267.0,3258.0
43.0,8268.0,3282.0
44.0,8269.0,3314.0
2.0,8229.0,3331.0
29.0,8256.0,3396.0
17.0,8250.0,3422.0
45.0,8270.0,3504.0
13.0,8239.0,3515.0
43.0,8268.0,3520.0
17.0,8250.0,3559.0
35.0,8262.0,3591.0
4.0,8231.0,3729.0
46.0,8250.0,3734.0
17.0,8250.0,3767.0
4.0,8231.0,3768.0
4.0,8231.0,3820.0
17.0,8250.0,3835.0
17.0,8250.0,3851.0
4.0,8231.0,3855.0
7.0,8234.0,3874.0
4.0,8231.0,3928.0
47.0,8271.0,3950.0
17.0,8250.0,3994.0
4.0,8231.0,4030.0
17.0,8250.0,4030.0
17.0,8250.0,4058.0
4.0,8231.0,4078.0
2.0,8229.0,4188.0
7.0,8234.0,4191.0
4.0,8231.0,4198.0
4.0,8231.0,4242.0
2.0,8229.0,4243.0
13.0,8239.0,4275.0
4.0,8231.0,4287.0
2.0,8229.0,4304.0
4.0,8231.0,4334.0
48.0,8272.0,4399.0
49.0,8273.0,4408.0
4.0,8231.0,4411.0
49.0,8273.0,4432.0
17.0,8250.0,4442.0
4.0,8231.0,4485.0
50.0,8274.0,4487.0
51.0,8275.0,4497.0
17.0,8250.0,4505.0
48.0,8272.0,4508.0
4.0,8231.0,4533.0
2.0,8229.0,4562.0
51.0,8275.0,4568.0
4.0,8231.0,4581.0
17.0,8250.0,4584.0
2.0,8229.0,4620.0
13.0,8239.0,4630.0
49.0,8273.0,4665.0
52.0,8276.0,4667.0
53.0,8250.0,4669.0
4.0,8231.0,4679.0
52.0,8276.0,4709.0
54.0,8277.0,4743.0
55.0,8278.0,4751.0
17.0,8250.0,4755.0
49.0,8273.0,4774.0
56.0,8279.0,4780.0
4.0,8231.0,4802.0
2.0,8229.0,4812.0
17.0,8250.0,4813.0
4.0,8231.0,4853.0
49.0,8273.0,4877.0
4.0,8231.0,4893.0
17.0,8250.0,4899.0
57.0,8280.0,4909.0
17.0,8250.0,4925.0
17.0,8250.0,4968.0
49.0,8273.0,4980.0
9.0,8235.0,5007.0
48.0,8272.0,5037.0
58.0,8245.0,5056.0
17.0,8250.0,5066.0
59.0,8281.0,5087.0
2.0,8229.0,5088.0
17.0,8250.0,5101.0
49.0,8273.0,5148.0
2.0,8229.0,5169.0
4.0,8231.0,5180.0
4.0,8231.0,5218.0
2.0,8229.0,5258.0
