src,dst,time
59,59,999130846
37,38,1002859878
0,1,1003638700
47,47,1004506363
47,47,1004507576
41,42,1006205605
42,42,1006206270
42,42,1006206443
35,42,1006206853
19,20,1007186550
53,51,1007818179
54,51,1008159299
56,57,1008168135
43,43,1008810635
43,43,1008964604
43,43,1008964699
51,51,1009196373
44,43,1009862824
43,43,1009934184
36,51,1010209117
55,51,1010297983
39,38,1010484233
33,33,1010526830
34,33,1010557723
9,10,1010753617
11,10,1010786949
33,33,1011061722
33,33,1011061797
33,33,1011061843
35,33,1011154923
36,33,1011156696
28,28,1011942794
103,103,1012144871
106,106,1012150572
104,103,1012152741
104,103,1012163575
105,103,1012165202
487,487,1012193108
111,111,1012272923
1260,316,1012431144
106,103,1012522993
104,103,1012617155
316,316,1012621343
106,106,1012686619
106,106,1012745448
111,106,1012749049
486,486,1012776071
487,486,1012779004
111,111,1012932978
43,111,1012973443
97,97,1013132389
564,111,1013216340
565,111,1013216399
565,111,1013216467
565,111,1013356544
566,111,1013385061
111,111,1013468524
107,103,1013468850
111,111,1013587078
111,111,1013594629
55,487,1013613992
55,487,1013615340
567,111,1013628770
487,487,1013637503
97,98,1013804433
97,98,1013809802
111,111,1013905688
111,111,1013905714
106,106,1013980382
492,492,1014101924
83,83,1014131487
56,83,1014200584
111,111,1014238488
111,111,1014239277
111,111,1014274554
111,111,1014274581
111,111,1014284791
111,111,1014394404
107,97,1014508703
111,111,1014540258
97,97,1014563505
97,97,1014573463
568,111,1014585195
148,111,1014585388
55,487,1014609802
55,487,1014610514
487,487,1014662290
55,487,1014662821
28,28,1014681075
83,83,1014681075
93,94,1014681075
97,98,1014681075
108,103,1014681075
485,485,1014681075
106,106,1014681075
487,487,1014681075
559,559,1014681075
485,562,1014681075
111,111,1014681075
488,488,1014681075
1229,1230,1014681075
1236,1236,1014681075
1247,1247,1014681075
56,316,1014681075
486,486,1014690568
486,486,1014690748
111,486,1014691642
486,486,1014691847
52,111,1014700043
486,486,1014737966
488,486,1014743363
636,1231,1014823986
1231,1231,1014831094
113,1231,1014976744
97,97,1015093728
97,487,1015177183
487,487,1015178948
55,487,1015182139
315,97,1015183004
111,111,1015201584
97,111,1015207236
111,111,1015218688
315,487,1015342742
487,487,1015347060
315,487,1015348575
315,487,1015349806
316,97,1015455157
317,97,1015457483
317,97,1015457521
97,97,1015458329
51,316,1015541316
55,487,1015542550
55,487,1015543702
487,487,1015547934
55,487,1015558109
486,487,1015590249
315,111,1015608206
316,316,1015613877
