dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,fig11_speedup_norm_to_matg,fig12_energy_norm_to_tempgnn,measurement_date
WK,JODIE,MATG,1000,4.9536,0.55023,2.725617,225,1.0,8.9933,2026-07-05
WK,TGN,MATG,1000,8.1184,0.472381,3.834976,225,1.0,9.2643,2026-07-05
WK,TGAT,MATG,1000,7.4304,0.491414,3.651406,225,1.0,9.4089,2026-07-05
WK,APAN,MATG,1000,6.536,0.486249,3.178122,225,1.0,8.9571,2026-07-05
MC,JODIE,MATG,1000,5.5296,0.627166,3.467977,225,1.0,10.5996,2026-07-05
MC,TGN,MATG,1000,9.0624,0.536045,4.857854,225,1.0,10.8706,2026-07-05
MC,TGAT,MATG,1000,8.2944,0.556378,4.614818,225,1.0,11.0152,2026-07-05
MC,APAN,MATG,1000,7.296,0.554578,4.046205,225,1.0,10.5634,2026-07-05
RT,JODIE,MATG,1000,5.9904,0.549365,3.290914,225,1.0,9.5555,2026-07-05
RT,TGN,MATG,1000,9.8176,0.470826,4.622386,225,1.0,9.8265,2026-07-05
RT,TGAT,MATG,1000,8.9856,0.489367,4.397255,225,1.0,9.9711,2026-07-05
RT,APAN,MATG,1000,7.904,0.4856,3.838182,225,1.0,9.5193,2026-07-05
LM,JODIE,MATG,1000,6.6816,0.545347,3.643791,225,1.0,9.7964,2026-07-05
LM,TGN,MATG,1000,10.9504,0.467071,5.114612,225,1.0,10.0675,2026-07-05
LM,TGAT,MATG,1000,10.0224,0.48529,4.863771,225,1.0,10.212,2026-07-05
LM,APAN,MATG,1000,8.816,0.482099,4.250181,225,1.0,9.7603,2026-07-05
WT,JODIE,MATG,1000,7.6608,0.568133,4.352352,225,1.0,10.3586,2026-07-05
WT,TGN,MATG,1000,12.5552,0.485875,6.100257,225,1.0,10.6297,2026-07-05
WT,TGAT,MATG,1000,11.4912,0.504455,5.796789,225,1.0,10.7743,2026-07-05
WT,APAN,MATG,1000,10.108,0.502343,5.077679,225,1.0,10.3225,2026-07-05
GT,JODIE,MATG,1000,8.64,0.583322,5.039906,225,1.0,10.9208,2026-07-05
GT,TGN,MATG,1000,14.16,0.49821,7.054657,225,1.0,11.1919,2026-07-05
GT,TGAT,MATG,1000,12.96,0.516913,6.699191,225,1.0,11.3365,2026-07-05
GT,APAN,MATG,1000,11.4,0.515866,5.880873,225,1.0,10.8847,2026-07-05
