dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,fig11_speedup_norm_to_matg,fig12_energy_norm_to_tempgnn,measurement_date
WK,JODIE,RTGA,1000,2.59936,0.668205,1.736906,225,1.9057,5.731,2026-07-05
WK,TGN,RTGA,1000,4.213848,0.579956,2.443848,225,1.9266,5.9037,2026-07-05
WK,TGAT,RTGA,1000,3.835243,0.606712,2.326889,225,1.9374,5.9959,2026-07-05
WK,APAN,RTGA,1000,3.434938,0.589615,2.02529,225,1.9028,5.708,2026-07-05
MC,JODIE,RTGA,1000,2.724343,0.811194,2.20997,225,2.0297,6.7546,2026-07-05
MC,TGN,RTGA,1000,4.430192,0.698777,3.095717,225,2.0456,6.9274,2026-07-05
MC,TGAT,RTGA,1000,4.038366,0.72822,2.94082,225,2.0539,7.0195,2026-07-05
MC,APAN,RTGA,1000,3.59852,0.716537,2.578472,225,2.0275,6.7316,2026-07-05
RT,JODIE,RTGA,1000,3.068381,0.683473,2.097155,225,1.9523,6.0893,2026-07-05
RT,TGN,RTGA,1000,4.980267,0.591463,2.945645,225,1.9713,6.262,2026-07-05
RT,TGAT,RTGA,1000,4.535891,0.617775,2.802158,225,1.981,6.3541,2026-07-05
RT,APAN,RTGA,1000,4.053957,0.603334,2.445892,225,1.9497,6.0662,2026-07-05
LM,JODIE,RTGA,1000,3.38961,0.685041,2.322022,225,1.9712,6.2428,2026-07-05
LM,TGN,RTGA,1000,5.504373,0.592135,3.25933,225,1.9894,6.4156,2026-07-05
LM,TGAT,RTGA,1000,5.014209,0.618141,3.099487,225,1.9988,6.5077,2026-07-05
LM,APAN,RTGA,1000,4.478082,0.604824,2.708449,225,1.9687,6.2198,2026-07-05
WT,JODIE,RTGA,1000,3.806041,0.728729,2.773571,225,2.0128,6.6011,2026-07-05
WT,TGN,RTGA,1000,6.186656,0.628353,3.887403,225,2.0294,6.7738,2026-07-05
WT,TGAT,RTGA,1000,5.638746,0.655109,3.693992,225,2.0379,6.8659,2026-07-05
WT,APAN,RTGA,1000,5.027605,0.643605,3.235794,225,2.0105,6.5781,2026-07-05
GT,JODIE,RTGA,1000,4.211758,0.762564,3.211735,225,2.0514,6.9594,2026-07-05
GT,TGN,RTGA,1000,6.852165,0.656087,4.495619,225,2.0665,7.1321,2026-07-05
GT,TGAT,RTGA,1000,6.24759,0.683315,4.269069,225,2.0744,7.2242,2026-07-05
GT,APAN,RTGA,1000,5.562875,0.67368,3.7476,225,2.0493,6.9363,2026-07-05
