dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,fig11_speedup_norm_to_matg,fig12_energy_norm_to_tempgnn,measurement_date
WK,JODIE,ViTeGNN,1000,3.63567,0.65414,2.378236,225,1.3625,7.8471,2026-07-05
WK,TGN,ViTeGNN,1000,5.914615,0.565755,3.346222,225,1.3726,8.0836,2026-07-05
WK,TGAT,ViTeGNN,1000,5.392945,0.590776,3.18602,225,1.3778,8.2097,2026-07-05
WK,APAN,ViTeGNN,1000,4.801998,0.577481,2.773064,225,1.3611,7.8155,2026-07-05
MC,JODIE,ViTeGNN,1000,3.890797,0.777722,3.025957,225,1.4212,9.2486,2026-07-05
MC,TGN,ViTeGNN,1000,6.343553,0.668197,4.238746,225,1.4286,9.4852,2026-07-05
MC,TGAT,ViTeGNN,1000,5.790561,0.695382,4.026654,225,1.4324,9.6113,2026-07-05
MC,APAN,ViTeGNN,1000,5.137305,0.687232,3.530518,225,1.4202,9.2171,2026-07-05
RT,JODIE,ViTeGNN,1000,4.325511,0.663845,2.871469,225,1.3849,8.3376,2026-07-05
RT,TGN,ViTeGNN,1000,7.04326,0.572641,4.033257,225,1.3939,8.5741,2026-07-05
RT,TGAT,ViTeGNN,1000,6.42517,0.597157,3.836832,225,1.3985,8.7003,2026-07-05
RT,APAN,ViTeGNN,1000,5.712221,0.58629,3.34902,225,1.3837,8.3061,2026-07-05
LM,JODIE,ViTeGNN,1000,4.793801,0.663233,3.179409,225,1.3938,8.5479,2026-07-05
LM,TGN,ViTeGNN,1000,7.808329,0.571538,4.462756,225,1.4024,8.7844,2026-07-05
LM,TGAT,ViTeGNN,1000,7.124254,0.595696,4.243893,225,1.4068,8.9105,2026-07-05
LM,APAN,ViTeGNN,1000,6.33015,0.585843,3.708474,225,1.3927,8.5163,2026-07-05
WT,JODIE,ViTeGNN,1000,5.420122,0.700657,3.797646,225,1.4134,9.0384,2026-07-05
WT,TGN,ViTeGNN,1000,8.834846,0.602473,5.322754,225,1.4211,9.2749,2026-07-05
WT,TGAT,ViTeGNN,1000,8.063434,0.627274,5.05798,225,1.4251,9.4011,2026-07-05
WT,APAN,ViTeGNN,1000,7.15712,0.619038,4.43053,225,1.4123,9.0069,2026-07-05
GT,JODIE,ViTeGNN,1000,6.03647,0.728504,4.397595,225,1.4313,9.529,2026-07-05
GT,TGN,ViTeGNN,1000,9.84564,0.625205,6.155546,225,1.4382,9.7655,2026-07-05
GT,TGAT,ViTeGNN,1000,8.988764,0.650294,5.845342,225,1.4418,9.8916,2026-07-05
GT,APAN,ViTeGNN,1000,7.970356,0.643802,5.131331,225,1.4303,9.4974,2026-07-05
