dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,fig10_speedup_norm_to_tglite_cpu,fig12_energy_norm_to_tempgnn,measurement_date
WK,JODIE,TGLite-CPU,1000,402.56,0.11165,44.94579,1.0,148.3007,2026-07-05
WK,JODIE,Cascade,1000,81.361413,0.110024,8.951747,4.9478,29.5367,2026-07-05
WK,JODIE,TempGNN-G,1000,33.161441,,,12.1394,,2026-07-05
WK,JODIE,TempGNN,1000,3.509084,0.086368,0.303072,114.7194,1.0,2026-07-05
WK,TGN,TGLite-CPU,1000,631.04,0.100215,63.239695,1.0,152.7706,2026-07-05
WK,TGN,Cascade,1000,130.388247,0.096599,12.595318,4.8397,30.427,2026-07-05
WK,TGN,TempGNN-G,1000,51.79294,,,12.1839,,2026-07-05
WK,TGN,TempGNN,1000,5.284402,0.078335,0.413952,119.4156,1.0,2026-07-05
WK,TGAT,TGLite-CPU,1000,598.4,0.100622,60.212397,1.0,155.1546,2026-07-05
WK,TGAT,Cascade,1000,125.0,0.095939,11.992371,4.7872,30.9018,2026-07-05
WK,TGAT,TempGNN-G,1000,48.988146,,,12.2152,,2026-07-05
WK,TGAT,TempGNN,1000,4.908124,0.079069,0.38808,121.9203,1.0,2026-07-05
WK,APAN,TGLite-CPU,1000,533.12,0.098304,52.408026,1.0,147.7048,2026-07-05
WK,APAN,Cascade,1000,107.412407,0.097177,10.437977,4.9633,29.418,2026-07-05
WK,APAN,TempGNN-G,1000,43.932427,,,12.135,,2026-07-05
WK,APAN,TempGNN,1000,4.672671,0.075934,0.354816,114.0932,1.0,2026-07-05
MC,JODIE,TGLite-CPU,1000,445.184,0.128458,57.187432,1.0,174.7889,2026-07-05
MC,JODIE,Cascade,1000,95.11056,0.119754,11.389888,4.6807,34.8123,2026-07-05
MC,JODIE,TempGNN-G,1000,34.291348,,,12.9824,,2026-07-05
MC,JODIE,TempGNN,1000,3.221286,0.101568,0.32718,138.2007,1.0,2026-07-05
MC,TGN,TGLite-CPU,1000,697.856,0.11479,80.107173,1.0,179.2588,2026-07-05
MC,TGN,Cascade,1000,151.464166,0.105337,15.954778,4.6074,35.7026,2026-07-05
MC,TGN,TempGNN-G,1000,53.376165,,,13.0743,,2026-07-05
MC,TGN,TempGNN,1000,4.883629,0.091506,0.44688,142.897,1.0,2026-07-05
MC,TGAT,TGLite-CPU,1000,661.76,0.114995,76.099251,1.0,181.6428,2026-07-05
MC,TGAT,Cascade,1000,144.767238,0.104696,15.156522,4.5712,36.1774,2026-07-05
MC,TGAT,TempGNN-G,1000,50.409824,,,13.1276,,2026-07-05
MC,TGAT,TempGNN,1000,4.551254,0.092052,0.41895,145.4017,1.0,2026-07-05
MC,APAN,TGLite-CPU,1000,589.568,0.113173,66.722887,1.0,174.193,2026-07-05
MC,APAN,Cascade,1000,125.680665,0.105737,13.289037,4.691,34.6936,2026-07-05
MC,APAN,TempGNN-G,1000,45.452779,,,12.971,,2026-07-05
MC,APAN,TempGNN,1000,4.285445,0.089382,0.38304,137.5745,1.0,2026-07-05
RT,JODIE,TGLite-CPU,1000,483.072,0.112339,54.267659,1.0,157.5716,2026-07-05
RT,JODIE,Cascade,1000,99.824764,0.108273,10.808374,4.8392,31.3832,2026-07-05
RT,JODIE,TempGNN-G,1000,38.91035,,,12.415,,2026-07-05
RT,JODIE,TempGNN,1000,3.929402,0.087647,0.3444,122.9378,1.0,2026-07-05
RT,TGN,TGLite-CPU,1000,757.248,0.10066,76.224322,1.0,162.0415,2026-07-05
RT,TGN,Cascade,1000,159.558356,0.095146,15.181407,4.7459,32.2734,2026-07-05
RT,TGN,TempGNN-G,1000,60.678382,,,12.4797,,2026-07-05
RT,TGN,TempGNN,1000,5.93296,0.079286,0.4704,127.6341,1.0,2026-07-05
RT,TGAT,TGLite-CPU,1000,718.08,0.10098,72.511601,1.0,164.4254,2026-07-05
RT,TGAT,Cascade,1000,152.773227,0.094532,14.441956,4.7003,32.7482,2026-07-05
RT,TGAT,TempGNN-G,1000,57.353258,,,12.5203,,2026-07-05
RT,TGAT,TempGNN,1000,5.517801,0.079923,0.441,130.1388,1.0,2026-07-05
RT,APAN,TGLite-CPU,1000,639.744,0.098934,63.292562,1.0,156.9756,2026-07-05
RT,APAN,Cascade,1000,131.840739,0.095614,12.605846,4.8524,31.2645,2026-07-05
RT,APAN,TempGNN-G,1000,51.560656,,,12.4076,,2026-07-05
RT,APAN,TempGNN,1000,5.23044,0.077087,0.4032,122.3117,1.0,2026-07-05
LM,JODIE,TGLite-CPU,1000,530.432,0.113279,60.086911,1.0,161.5448,2026-07-05
LM,JODIE,Cascade,1000,110.548122,0.108255,11.96737,4.7982,32.1745,2026-07-05
LM,JODIE,TempGNN-G,1000,42.298191,,,12.5403,,2026-07-05
LM,JODIE,TempGNN,1000,4.194465,0.088677,0.371952,126.46,1.0,2026-07-05
LM,TGN,TGLite-CPU,1000,831.488,0.101434,84.34078,1.0,166.0147,2026-07-05
LM,TGN,Cascade,1000,176.525487,0.095159,16.797976,4.7103,33.0648,2026-07-05
LM,TGN,TempGNN-G,1000,65.926754,,,12.6123,,2026-07-05
LM,TGN,TempGNN,1000,6.339673,0.080135,0.508032,131.1563,1.0,2026-07-05
LM,TGAT,TGLite-CPU,1000,788.48,0.101721,80.204933,1.0,168.3987,2026-07-05
LM,TGAT,Cascade,1000,168.940692,0.094555,15.974241,4.6672,33.5396,2026-07-05
LM,TGAT,TempGNN-G,1000,62.299408,,,12.6563,,2026-07-05
LM,TGAT,TempGNN,1000,5.899103,0.080738,0.47628,133.661,1.0,2026-07-05
LM,APAN,TGLite-CPU,1000,702.464,0.099772,70.086164,1.0,160.9489,2026-07-05
LM,APAN,Cascade,1000,146.024197,0.095593,13.95889,4.8106,32.0558,2026-07-05
LM,APAN,TempGNN-G,1000,56.054517,,,12.5318,,2026-07-05
LM,APAN,TempGNN,1000,5.58247,0.078004,0.435456,125.8339,1.0,2026-07-05
WT,JODIE,TGLite-CPU,1000,634.624,0.113093,71.771291,1.0,170.8157,2026-07-05
WT,JODIE,Cascade,1000,134.648222,0.106162,14.294536,4.7132,34.021,2026-07-05
WT,JODIE,TempGNN-G,1000,49.401306,,,12.8463,,2026-07-05
WT,JODIE,TempGNN,1000,4.71214,0.089167,0.420168,134.6785,1.0,2026-07-05
WT,TGN,TGLite-CPU,1000,994.816,0.101119,100.594302,1.0,175.2856,2026-07-05
WT,TGN,Cascade,1000,214.584987,0.093367,20.035119,4.636,34.9112,2026-07-05
WT,TGN,TempGNN-G,1000,76.921935,,,12.9328,,2026-07-05
WT,TGN,TempGNN,1000,7.137704,0.080402,0.573888,139.3748,1.0,2026-07-05
WT,TGAT,TGLite-CPU,1000,943.36,0.101329,95.589744,1.0,177.6695,2026-07-05
WT,TGAT,Cascade,1000,205.171926,0.092792,19.038376,4.5979,35.386,2026-07-05
WT,TGAT,TempGNN-G,1000,72.657814,,,12.9836,,2026-07-05
WT,TGAT,TempGNN,1000,6.649027,0.080917,0.53802,141.8794,1.0,2026-07-05
WT,APAN,TGLite-CPU,1000,840.448,0.099628,83.731751,1.0,170.2197,2026-07-05
WT,APAN,Cascade,1000,177.90648,0.093738,16.676677,4.7241,33.9023,2026-07-05
WT,APAN,TempGNN-G,1000,65.477379,,,12.8357,,2026-07-05
WT,APAN,TempGNN,1000,6.269553,0.078459,0.491904,134.0523,1.0,2026-07-05
GT,JODIE,TGLite-CPU,1000,719.872,0.11545,83.109246,1.0,180.0866,2026-07-05
GT,JODIE,Cascade,1000,155.131454,0.106701,16.552662,4.6404,35.8674,2026-07-05
GT,JODIE,TempGNN-G,1000,54.668287,,,13.168,,2026-07-05
GT,JODIE,TempGNN,1000,5.037698,0.091608,0.461496,142.897,1.0,2026-07-05
GT,TGN,TGLite-CPU,1000,1128.448,0.103091,116.332606,1.0,184.5565,2026-07-05
