dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,fig11_speedup_norm_to_matg,fig12_energy_norm_to_tempgnn,measurement_date
WK,JODIE,TempGNN,1000,0.747567,0.405411,0.303072,225,6.6263,1.0,2026-07-05
WK,TGN,TempGNN,1000,1.181219,0.350445,0.413952,225,6.8729,1.0,2026-07-05
WK,TGAT,TempGNN,1000,1.060819,0.365831,0.38808,225,7.0044,1.0,2026-07-05
WK,APAN,TempGNN,1000,0.991294,0.357932,0.354816,225,6.5934,1.0,2026-07-05
MC,JODIE,TempGNN,1000,0.700242,0.467239,0.32718,225,7.8967,1.0,2026-07-05
MC,TGN,TempGNN,1000,1.112866,0.401558,0.44688,225,8.1433,1.0,2026-07-05
MC,TGAT,TempGNN,1000,1.002369,0.41796,0.41895,225,8.2748,1.0,2026-07-05
MC,APAN,TempGNN,1000,0.927796,0.412849,0.38304,225,7.8638,1.0,2026-07-05
RT,JODIE,TempGNN,1000,0.847191,0.40652,0.3444,225,7.0709,1.0,2026-07-05
RT,TGN,TempGNN,1000,1.34166,0.35061,0.4704,225,7.3175,1.0,2026-07-05
RT,TGAT,TempGNN,1000,1.206283,0.365586,0.441,225,7.449,1.0,2026-07-05
RT,APAN,TempGNN,1000,1.123046,0.359023,0.4032,225,7.038,1.0,2026-07-05
LM,JODIE,TempGNN,1000,0.92014,0.404234,0.371952,225,7.2615,1.0,2026-07-05
LM,TGN,TempGNN,1000,1.458478,0.34833,0.508032,225,7.5081,1.0,2026-07-05
LM,TGAT,TempGNN,1000,1.311901,0.363046,0.47628,225,7.6396,1.0,2026-07-05
LM,APAN,TempGNN,1000,1.2196,0.357048,0.435456,225,7.2286,1.0,2026-07-05
WT,JODIE,TempGNN,1000,0.994122,0.422653,0.420168,225,7.7061,1.0,2026-07-05
WT,TGN,TempGNN,1000,1.578734,0.363511,0.573888,225,7.9527,1.0,2026-07-05
WT,TGAT,TempGNN,1000,1.421439,0.378504,0.53802,225,8.0842,1.0,2026-07-05
WT,APAN,TempGNN,1000,1.317312,0.373415,0.491904,225,7.6732,1.0,2026-07-05
GT,JODIE,TempGNN,1000,1.060019,0.435366,0.461496,225,8.1508,1.0,2026-07-05
GT,TGN,TempGNN,1000,1.686236,0.373812,0.630336,225,8.3974,1.0,2026-07-05
GT,TGAT,TempGNN,1000,1.519539,0.388894,0.59094,225,8.5289,1.0,2026-07-05
GT,APAN,TempGNN,1000,1.404304,0.384737,0.540288,225,8.1179,1.0,2026-07-05
