dataset,figure,model,solution,value
WK,fig12_energy_tempgnn,JODIE,TGLite-CPU,148.3007
WK,fig12_energy_tempgnn,JODIE,Cascade,29.5367
WK,fig12_energy_tempgnn,JODIE,MATG,8.9933
WK,fig12_energy_tempgnn,JODIE,ViTeGNN,7.8471
WK,fig12_energy_tempgnn,JODIE,RTGA,5.731
WK,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WK,fig12_energy_tempgnn,TGN,TGLite-CPU,152.7706
WK,fig12_energy_tempgnn,TGN,Cascade,30.427
WK,fig12_energy_tempgnn,TGN,MATG,9.2643
WK,fig12_energy_tempgnn,TGN,ViTeGNN,8.0836
WK,fig12_energy_tempgnn,TGN,RTGA,5.9037
WK,fig12_energy_tempgnn,TGN,TempGNN,1.0
WK,fig12_energy_tempgnn,TGAT,TGLite-CPU,155.1546
WK,fig12_energy_tempgnn,TGAT,Cascade,30.9018
WK,fig12_energy_tempgnn,TGAT,MATG,9.4089
WK,fig12_energy_tempgnn,TGAT,ViTeGNN,8.2097
WK,fig12_energy_tempgnn,TGAT,RTGA,5.9959
WK,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WK,fig12_energy_tempgnn,APAN,TGLite-CPU,147.7048
WK,fig12_energy_tempgnn,APAN,Cascade,29.418
WK,fig12_energy_tempgnn,APAN,MATG,8.9571
WK,fig12_energy_tempgnn,APAN,ViTeGNN,7.8155
WK,fig12_energy_tempgnn,APAN,RTGA,5.708
WK,fig12_energy_tempgnn,APAN,TempGNN,1.0
MC,fig12_energy_tempgnn,JODIE,TGLite-CPU,174.7889
MC,fig12_energy_tempgnn,JODIE,Cascade,34.8123
MC,fig12_energy_tempgnn,JODIE,MATG,10.5996
MC,fig12_energy_tempgnn,JODIE,ViTeGNN,9.2486
MC,fig12_energy_tempgnn,JODIE,RTGA,6.7546
MC,fig12_energy_tempgnn,JODIE,TempGNN,1.0
MC,fig12_energy_tempgnn,TGN,TGLite-CPU,179.2588
MC,fig12_energy_tempgnn,TGN,Cascade,35.7026
MC,fig12_energy_tempgnn,TGN,MATG,10.8706
MC,fig12_energy_tempgnn,TGN,ViTeGNN,9.4852
MC,fig12_energy_tempgnn,TGN,RTGA,6.9274
MC,fig12_energy_tempgnn,TGN,TempGNN,1.0
MC,fig12_energy_tempgnn,TGAT,TGLite-CPU,181.6428
MC,fig12_energy_tempgnn,TGAT,Cascade,36.1774
MC,fig12_energy_tempgnn,TGAT,MATG,11.0152
MC,fig12_energy_tempgnn,TGAT,ViTeGNN,9.6113
MC,fig12_energy_tempgnn,TGAT,RTGA,7.0195
MC,fig12_energy_tempgnn,TGAT,TempGNN,1.0
MC,fig12_energy_tempgnn,APAN,TGLite-CPU,174.193
MC,fig12_energy_tempgnn,APAN,Cascade,34.6936
MC,fig12_energy_tempgnn,APAN,MATG,10.5634
MC,fig12_energy_tempgnn,APAN,ViTeGNN,9.2171
MC,fig12_energy_tempgnn,APAN,RTGA,6.7316
MC,fig12_energy_tempgnn,APAN,TempGNN,1.0
RT,fig12_energy_tempgnn,JODIE,TGLite-CPU,157.5716
RT,fig12_energy_tempgnn,JODIE,Cascade,31.3832
RT,fig12_energy_tempgnn,JODIE,MATG,9.5555
RT,fig12_energy_tempgnn,JODIE,ViTeGNN,8.3376
RT,fig12_energy_tempgnn,JODIE,RTGA,6.0893
RT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
RT,fig12_energy_tempgnn,TGN,TGLite-CPU,162.0415
RT,fig12_energy_tempgnn,TGN,Cascade,32.2734
RT,fig12_energy_tempgnn,TGN,MATG,9.8265
RT,fig12_energy_tempgnn,TGN,ViTeGNN,8.5741
RT,fig12_energy_tempgnn,TGN,RTGA,6.262
RT,fig12_energy_tempgnn,TGN,TempGNN,1.0
RT,fig12_energy_tempgnn,TGAT,TGLite-CPU,164.4254
RT,fig12_energy_tempgnn,TGAT,Cascade,32.7482
RT,fig12_energy_tempgnn,TGAT,MATG,9.9711
RT,fig12_energy_tempgnn,TGAT,ViTeGNN,8.7003
RT,fig12_energy_tempgnn,TGAT,RTGA,6.3541
RT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
RT,fig12_energy_tempgnn,APAN,TGLite-CPU,156.9756
RT,fig12_energy_tempgnn,APAN,Cascade,31.2645
RT,fig12_energy_tempgnn,APAN,MATG,9.5193
RT,fig12_energy_tempgnn,APAN,ViTeGNN,8.3061
RT,fig12_energy_tempgnn,APAN,RTGA,6.0662
RT,fig12_energy_tempgnn,APAN,TempGNN,1.0
LM,fig12_energy_tempgnn,JODIE,TGLite-CPU,161.5448
LM,fig12_energy_tempgnn,JODIE,Cascade,32.1745
LM,fig12_energy_tempgnn,JODIE,MATG,9.7964
LM,fig12_energy_tempgnn,JODIE,ViTeGNN,8.5479
LM,fig12_energy_tempgnn,JODIE,RTGA,6.2428
LM,fig12_energy_tempgnn,JODIE,TempGNN,1.0
LM,fig12_energy_tempgnn,TGN,TGLite-CPU,166.0147
LM,fig12_energy_tempgnn,TGN,Cascade,33.0648
LM,fig12_energy_tempgnn,TGN,MATG,10.0675
LM,fig12_energy_tempgnn,TGN,ViTeGNN,8.7844
LM,fig12_energy_tempgnn,TGN,RTGA,6.4156
LM,fig12_energy_tempgnn,TGN,TempGNN,1.0
LM,fig12_energy_tempgnn,TGAT,TGLite-CPU,168.3987
LM,fig12_energy_tempgnn,TGAT,Cascade,33.5396
LM,fig12_energy_tempgnn,TGAT,MATG,10.212
LM,fig12_energy_tempgnn,TGAT,ViTeGNN,8.9105
LM,fig12_energy_tempgnn,TGAT,RTGA,6.5077
LM,fig12_energy_tempgnn,TGAT,TempGNN,1.0
LM,fig12_energy_tempgnn,APAN,TGLite-CPU,160.9489
LM,fig12_energy_tempgnn,APAN,Cascade,32.0558
LM,fig12_energy_tempgnn,APAN,MATG,9.7603
LM,fig12_energy_tempgnn,APAN,ViTeGNN,8.5163
LM,fig12_energy_tempgnn,APAN,RTGA,6.2198
LM,fig12_energy_tempgnn,APAN,TempGNN,1.0
WT,fig12_energy_tempgnn,JODIE,TGLite-CPU,170.8157
WT,fig12_energy_tempgnn,JODIE,Cascade,34.021
WT,fig12_energy_tempgnn,JODIE,MATG,10.3586
WT,fig12_energy_tempgnn,JODIE,ViTeGNN,9.0384
WT,fig12_energy_tempgnn,JODIE,RTGA,6.6011
WT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WT,fig12_energy_tempgnn,TGN,TGLite-CPU,175.2856
WT,fig12_energy_tempgnn,TGN,Cascade,34.9112
WT,fig12_energy_tempgnn,TGN,MATG,10.6297
WT,fig12_energy_tempgnn,TGN,ViTeGNN,9.2749
WT,fig12_energy_tempgnn,TGN,RTGA,6.7738
WT,fig12_energy_tempgnn,TGN,TempGNN,1.0
WT,fig12_energy_tempgnn,TGAT,TGLite-CPU,177.6695
WT,fig12_energy_tempgnn,TGAT,Cascade,35.386
WT,fig12_energy_tempgnn,TGAT,MATG,10.7743
WT,fig12_energy_tempgnn,TGAT,ViTeGNN,9.4011
WT,fig12_energy_tempgnn,TGAT,RTGA,6.8659
WT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WT,fig12_energy_tempgnn,APAN,TGLite-CPU,170.2197
WT,fig12_energy_tempgnn,APAN,Cascade,33.9023
WT,fig12_energy_tempgnn,APAN,MATG,10.3225
WT,fig12_energy_tempgnn,APAN,ViTeGNN,9.0069
WT,fig12_energy_tempgnn,APAN,RTGA,6.5781
WT,fig12_energy_tempgnn,APAN,TempGNN,1.0
GT,fig12_energy_tempgnn,JODIE,TGLite-CPU,180.0866
GT,fig12_energy_tempgnn,JODIE,Cascade,35.8674
GT,fig12_energy_tempgnn,JODIE,MATG,10.9208
GT,fig12_energy_tempgnn,JODIE,ViTeGNN,9.529
GT,fig12_energy_tempgnn,JODIE,RTGA,6.9594
GT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
GT,fig12_energy_tempgnn,TGN,TGLite-CPU,184.5565
GT,fig12_energy_tempgnn,TGN,Cascade,36.7577
GT,fig12_energy_tempgnn,TGN,MATG,11.1919
GT,fig12_energy_tempgnn,TGN,ViTeGNN,9.7655
GT,fig12_energy_tempgnn,TGN,RTGA,7.1321
GT,fig12_energy_tempgnn,TGN,TempGNN,1.0
GT,fig12_energy_tempgnn,TGAT,TGLite-CPU,186.9404
GT,fig12_energy_tempgnn,TGAT,Cascade,37.2325
GT,fig12_energy_tempgnn,TGAT,MATG,11.3365
GT,fig12_energy_tempgnn,TGAT,ViTeGNN,9.8916
GT,fig12_energy_tempgnn,TGAT,RTGA,7.2242
GT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
GT,fig12_energy_tempgnn,APAN,TGLite-CPU,179.4906
GT,fig12_energy_tempgnn,APAN,Cascade,35.7487
GT,fig12_energy_tempgnn,APAN,MATG,10.8847
GT,fig12_energy_tempgnn,APAN,ViTeGNN,9.4974
GT,fig12_energy_tempgnn,APAN,RTGA,6.9363
GT,fig12_energy_tempgnn,APAN,TempGNN,1.0
AVG,fig12_energy_tempgnn,AVG,TGLite-CPU,168.2
AVG,fig12_energy_tempgnn,AVG,Cascade,33.5
AVG,fig12_energy_tempgnn,AVG,MATG,10.2
AVG,fig12_energy_tempgnn,AVG,ViTeGNN,8.9
AVG,fig12_energy_tempgnn,AVG,RTGA,6.5
AVG,fig12_energy_tempgnn,AVG,TempGNN,1.0
