dataset,figure,figure_id,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note,x
WK,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.8,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,81.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,7.2,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.1,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,80.8,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,8.9,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.1,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.5,Exact numeric cell from the author plotting workbook.,
