dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WK/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/MC/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/RT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/LM/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,JODIE,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/GT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WK/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/MC/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/RT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/LM/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/GT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WK/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/MC/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/RT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/LM/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGAT,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/GT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WK/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/MC/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/RT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/LM/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,APAN,MATG,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/GT/MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
AVG,fig11_speedup_matg,AVG,MATG,vector_fig11,vector_geometry_digitization,Fig.11 AVG bar:MATG,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.0,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
