dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/WK/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,160.472,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/MC/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,150.236,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/RT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,170.788,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/LM/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,190.474,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/WT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,185.432,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,JODIE,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/GT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,216.615,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WK/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,165.51,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/MC/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,155.196,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/RT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,175.826,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/LM/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,195.512,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,190.395,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/GT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,221.577,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WK/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,115.511,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/MC/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,110.236,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/RT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,120.787,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/LM/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,140.551,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,135.432,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGAT,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/GT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,150.393,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WK/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,162.519,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/MC/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,152.204,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/RT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,172.834,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/LM/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,192.52,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,187.4,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,APAN,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/GT/TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,218.583,Digitized from the vector bar geometry using the plotted broken-axis calibration.
AVG,fig12_energy_tempgnn,AVG,TGLite-CPU,vector_fig12,vector_geometry_digitization,Fig.12 AVG bar:TGLite-CPU,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,168.186,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
WK,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/WK/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,30.475,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/MC/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,28.505,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/RT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,32.522,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/LM/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,39.528,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/WT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,37.481,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,JODIE,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:JODIE/GT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,49.472,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WK/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,31.971,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/MC/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,30.0,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/RT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,34.017,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/LM/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,42.165,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/WT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,38.977,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGN/GT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,52.627,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WK/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,21.499,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/MC/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,20.239,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/RT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,23.073,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/LM/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,28.505,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/WT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,26.537,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,TGAT,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:TGAT/GT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,31.97,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WK,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WK/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,31.183,Digitized from the vector bar geometry using the plotted broken-axis calibration.
MC,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/MC/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,29.213,Digitized from the vector bar geometry using the plotted broken-axis calibration.
RT,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/RT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,33.23,Digitized from the vector bar geometry using the plotted broken-axis calibration.
LM,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/LM/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,40.498,Digitized from the vector bar geometry using the plotted broken-axis calibration.
WT,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/WT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,38.189,Digitized from the vector bar geometry using the plotted broken-axis calibration.
GT,fig12_energy_tempgnn,APAN,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 bar:APAN/GT/Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,50.966,Digitized from the vector bar geometry using the plotted broken-axis calibration.
AVG,fig12_energy_tempgnn,AVG,Cascade,vector_fig12,vector_geometry_digitization,Fig.12 AVG bar:Cascade,03631bb354c124578afb69b94bca09c584300e28db6692d3f08578ea1bbc7051,33.545,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
