dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig13_ablation_time,JODIE,TempGNN,workbook_b,exact_workbook_value,Sheet1!J31,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,JODIE,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K31,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.1,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WK,fig13_ablation_time,JODIE,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L31,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.75,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,JODIE,TempGNN,workbook_b,exact_workbook_value,Sheet1!J32,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,JODIE,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K32,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.95,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
MC,fig13_ablation_time,JODIE,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L32,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.68,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,JODIE,TempGNN,workbook_b,exact_workbook_value,Sheet1!J33,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,JODIE,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K33,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.25,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,JODIE,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L33,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.82,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,JODIE,TempGNN,workbook_b,exact_workbook_value,Sheet1!J34,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
