dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note,x
AVG,fig14a_batch_sensitivity,ALL,MATG,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:MATG/400,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.0,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,400
AVG,fig14a_batch_sensitivity,ALL,MATG,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:MATG/600,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.9201,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,600
AVG,fig14a_batch_sensitivity,ALL,MATG,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:MATG/800,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.865,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,800
AVG,fig14a_batch_sensitivity,ALL,MATG,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:MATG/1000,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.82,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1000
AVG,fig14a_batch_sensitivity,ALL,MATG,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:MATG/1200,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.7952,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1200
AVG,fig14a_batch_sensitivity,ALL,ViTeGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:ViTeGNN/400,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.7801,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,400
AVG,fig14a_batch_sensitivity,ALL,ViTeGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:ViTeGNN/600,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.685,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,600
AVG,fig14a_batch_sensitivity,ALL,ViTeGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:ViTeGNN/800,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.6249,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,800
AVG,fig14a_batch_sensitivity,ALL,ViTeGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:ViTeGNN/1000,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.5672,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1000
AVG,fig14a_batch_sensitivity,ALL,ViTeGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:ViTeGNN/1200,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.545,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1200
AVG,fig14a_batch_sensitivity,ALL,RTGA,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:RTGA/400,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.585,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,400
AVG,fig14a_batch_sensitivity,ALL,RTGA,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:RTGA/600,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.505,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,600
AVG,fig14a_batch_sensitivity,ALL,RTGA,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:RTGA/800,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.4449,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,800
AVG,fig14a_batch_sensitivity,ALL,RTGA,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:RTGA/1000,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.3989,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1000
AVG,fig14a_batch_sensitivity,ALL,RTGA,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:RTGA/1200,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.3801,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1200
AVG,fig14a_batch_sensitivity,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:TempGNN/400,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.225,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,400
AVG,fig14a_batch_sensitivity,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:TempGNN/600,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.1649,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,600
AVG,fig14a_batch_sensitivity,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:TempGNN/800,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.1249,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,800
AVG,fig14a_batch_sensitivity,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(a) marker:TempGNN/1000,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.1051,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.002.,1000
