dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note,x
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/2,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.9989,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,2
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/4,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.5194,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,4
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/6,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.8493,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,6
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/8,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.1493,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,8
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/16,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.5489,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,16
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/32,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.5987,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,32
WK,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:WK/64,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.5788,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,64
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/2,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.0004,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,2
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/4,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.5507,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,4
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/6,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.8806,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,6
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/8,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.1806,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,8
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/16,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.6214,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,16
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/32,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.6612,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,32
MC,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:MC/64,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,2.6513,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,64
RT,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:RT/2,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,0.9818,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,2
RT,fig14b_tdp_entries,ALL,TempGNN,vector_fig14,vector_geometry_digitization,Fig.14(b) marker:RT/4,7899270127476690fd8215bb6c8a7fc329563deca39c9a447654f1c5d9018d70,1.562,Digitized from the vector line-marker geometry; expected uncertainty is about +/-0.01 speedup.,4
