dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.5,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.8,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,81.5,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,7.2,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.1,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,80.8,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,8.9,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.1,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.5,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,82.2,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,7.2,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.8,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.5,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,78.5,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,9.2,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,10.5,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.2,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,81.1,Exact numeric cell from the author plotting workbook.
WT,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,14.2,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.8,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,78.5,Exact numeric cell from the author plotting workbook.
GT,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.5,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,72.5,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.2,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.8,Exact numeric cell from the author plotting workbook.
WK,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,21.5,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,68.8,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.8,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.1,Exact numeric cell from the author plotting workbook.
MC,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,24.3,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,74.1,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.9,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.5,Exact numeric cell from the author plotting workbook.
RT,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,20.5,Exact numeric cell from the author plotting workbook.
LM,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,65.5,Exact numeric cell from the author plotting workbook.
