dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig9b_gpu_overhead_breakdown,JODIE,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,38.2,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,JODIE,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,37.5,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,JODIE,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,24.3,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,JODIE,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,40.5,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,JODIE,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,36.2,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,JODIE,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,23.3,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,JODIE,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J5,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,42.1,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,JODIE,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K5,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,34.8,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,JODIE,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L5,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,23.1,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,JODIE,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J6,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,55.4,Exact numeric cell from the author plotting workbook.
