dataset,figure,model,solution,value
WK,motivation_bpr,JODIE,BPR (%),73.2832
MC,motivation_bpr,JODIE,BPR (%),81.204
RT,motivation_bpr,JODIE,BPR (%),76.0554
LM,motivation_bpr,JODIE,BPR (%),77.2436
WT,motivation_bpr,JODIE,BPR (%),80.0158
GT,motivation_bpr,JODIE,BPR (%),82.7881
WK,motivation_bpr,TGN,BPR (%),75.897
MC,motivation_bpr,TGN,BPR (%),83.8178
RT,motivation_bpr,TGN,BPR (%),78.6693
LM,motivation_bpr,TGN,BPR (%),79.8574
WT,motivation_bpr,TGN,BPR (%),82.6297
GT,motivation_bpr,TGN,BPR (%),85.402
WK,motivation_bpr,TGAT,BPR (%),77.2911
MC,motivation_bpr,TGAT,BPR (%),85.2119
RT,motivation_bpr,TGAT,BPR (%),80.0634
LM,motivation_bpr,TGAT,BPR (%),81.2515
WT,motivation_bpr,TGAT,BPR (%),84.0238
GT,motivation_bpr,TGAT,BPR (%),86.796
WK,motivation_bpr,APAN,BPR (%),72.9347
MC,motivation_bpr,APAN,BPR (%),80.8554
RT,motivation_bpr,APAN,BPR (%),75.7069
LM,motivation_bpr,APAN,BPR (%),76.895
WT,motivation_bpr,APAN,BPR (%),79.6673
GT,motivation_bpr,APAN,BPR (%),82.4396
AVG,motivation_bpr,AVG,BPR (%),80.0
