dataset,figure,model,solution,value
WK,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),12.0702
WK,motivation_gpu_bottleneck,JODIE,Memory latency share (%),75.4847
MC,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),13.3672
MC,motivation_gpu_bottleneck,JODIE,Memory latency share (%),81.8736
RT,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),12.5241
RT,motivation_gpu_bottleneck,JODIE,Memory latency share (%),77.7208
LM,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),12.7187
LM,motivation_gpu_bottleneck,JODIE,Memory latency share (%),78.6792
WT,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),13.1726
WT,motivation_gpu_bottleneck,JODIE,Memory latency share (%),80.9153
GT,motivation_gpu_bottleneck,JODIE,GPU SM utilization (%),13.6266
GT,motivation_gpu_bottleneck,JODIE,Memory latency share (%),83.1514
WK,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),12.3814
WK,motivation_gpu_bottleneck,TGN,Memory latency share (%),76.9222
MC,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),13.6785
MC,motivation_gpu_bottleneck,TGN,Memory latency share (%),83.3111
RT,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),12.8354
RT,motivation_gpu_bottleneck,TGN,Memory latency share (%),79.1583
LM,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),13.03
LM,motivation_gpu_bottleneck,TGN,Memory latency share (%),80.1167
WT,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),13.4839
WT,motivation_gpu_bottleneck,TGN,Memory latency share (%),82.3528
GT,motivation_gpu_bottleneck,TGN,GPU SM utilization (%),13.9379
GT,motivation_gpu_bottleneck,TGN,Memory latency share (%),84.5889
WK,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),12.5475
WK,motivation_gpu_bottleneck,TGAT,Memory latency share (%),77.6889
MC,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),13.8445
MC,motivation_gpu_bottleneck,TGAT,Memory latency share (%),84.0778
RT,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),13.0014
RT,motivation_gpu_bottleneck,TGAT,Memory latency share (%),79.925
LM,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),13.196
LM,motivation_gpu_bottleneck,TGAT,Memory latency share (%),80.8833
WT,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),13.6499
WT,motivation_gpu_bottleneck,TGAT,Memory latency share (%),83.1194
GT,motivation_gpu_bottleneck,TGAT,GPU SM utilization (%),14.1039
GT,motivation_gpu_bottleneck,TGAT,Memory latency share (%),85.3556
WK,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),12.0287
WK,motivation_gpu_bottleneck,APAN,Memory latency share (%),75.2931
MC,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),13.3257
MC,motivation_gpu_bottleneck,APAN,Memory latency share (%),81.6819
RT,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),12.4826
RT,motivation_gpu_bottleneck,APAN,Memory latency share (%),77.5292
LM,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),12.6772
LM,motivation_gpu_bottleneck,APAN,Memory latency share (%),78.4875
WT,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),13.1311
WT,motivation_gpu_bottleneck,APAN,Memory latency share (%),80.7236
GT,motivation_gpu_bottleneck,APAN,GPU SM utilization (%),13.5851
GT,motivation_gpu_bottleneck,APAN,Memory latency share (%),82.9597
AVG,motivation_gpu_bottleneck,AVG,GPU SM utilization (%),13.1
AVG,motivation_gpu_bottleneck,AVG,Memory latency share (%),80.5
