dataset,figure,model,solution,value
WK,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),29.7
MC,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),32.4
RT,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),28.0
LM,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),26.2
WT,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),35.3
GT,motivation_useful_data_ratio,JODIE,Useful-data ratio (%),38.0
WK,motivation_useful_data_ratio,TGN,Useful-data ratio (%),34.4
MC,motivation_useful_data_ratio,TGN,Useful-data ratio (%),37.1
RT,motivation_useful_data_ratio,TGN,Useful-data ratio (%),32.7
LM,motivation_useful_data_ratio,TGN,Useful-data ratio (%),30.9
WT,motivation_useful_data_ratio,TGN,Useful-data ratio (%),40.0
GT,motivation_useful_data_ratio,TGN,Useful-data ratio (%),42.7
WK,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),33.8
MC,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),36.5
RT,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),32.1
LM,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),30.3
WT,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),39.4
GT,motivation_useful_data_ratio,TGAT,Useful-data ratio (%),42.1
WK,motivation_useful_data_ratio,APAN,Useful-data ratio (%),34.9
MC,motivation_useful_data_ratio,APAN,Useful-data ratio (%),37.6
RT,motivation_useful_data_ratio,APAN,Useful-data ratio (%),33.2
LM,motivation_useful_data_ratio,APAN,Useful-data ratio (%),31.4
WT,motivation_useful_data_ratio,APAN,Useful-data ratio (%),40.5
GT,motivation_useful_data_ratio,APAN,Useful-data ratio (%),43.2
AVG,motivation_useful_data_ratio,AVG,Useful-data ratio (%),35.1
