figure,model,dataset,solution,x,value,source_id,source_kind,source_locator,source_sha256,value_note
fig2_execution_breakdown,JODIE,WK,TGS (%),,6.5,workbook_a,exact_workbook_value,Sheet1!C2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WK,MG (%),,4.8,workbook_a,exact_workbook_value,Sheet1!D2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WK,VMU (%),,81.5,workbook_a,exact_workbook_value,Sheet1!E2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WK,TA (%),,7.2,workbook_a,exact_workbook_value,Sheet1!F2,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,MC,TGS (%),,5.2,workbook_a,exact_workbook_value,Sheet1!C3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,MC,MG (%),,5.1,workbook_a,exact_workbook_value,Sheet1!D3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,MC,VMU (%),,80.8,workbook_a,exact_workbook_value,Sheet1!E3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,MC,TA (%),,8.9,workbook_a,exact_workbook_value,Sheet1!F3,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,RT,TGS (%),,6.1,workbook_a,exact_workbook_value,Sheet1!C4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,RT,MG (%),,4.5,workbook_a,exact_workbook_value,Sheet1!D4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,RT,VMU (%),,82.2,workbook_a,exact_workbook_value,Sheet1!E4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,RT,TA (%),,7.2,workbook_a,exact_workbook_value,Sheet1!F4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,LM,TGS (%),,6.8,workbook_a,exact_workbook_value,Sheet1!C5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,LM,MG (%),,5.5,workbook_a,exact_workbook_value,Sheet1!D5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,LM,VMU (%),,78.5,workbook_a,exact_workbook_value,Sheet1!E5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,LM,TA (%),,9.2,workbook_a,exact_workbook_value,Sheet1!F5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WT,TGS (%),,10.5,workbook_a,exact_workbook_value,Sheet1!C6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WT,MG (%),,3.2,workbook_a,exact_workbook_value,Sheet1!D6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WT,VMU (%),,81.1,workbook_a,exact_workbook_value,Sheet1!E6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,WT,TA (%),,5.2,workbook_a,exact_workbook_value,Sheet1!F6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,GT,TGS (%),,14.2,workbook_a,exact_workbook_value,Sheet1!C7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,GT,MG (%),,2.8,workbook_a,exact_workbook_value,Sheet1!D7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,GT,VMU (%),,78.5,workbook_a,exact_workbook_value,Sheet1!E7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,JODIE,GT,TA (%),,4.5,workbook_a,exact_workbook_value,Sheet1!F7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,TGS (%),,72.5,workbook_a,exact_workbook_value,Sheet1!C8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,MG (%),,4.2,workbook_a,exact_workbook_value,Sheet1!D8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,VMU (%),,1.8,workbook_a,exact_workbook_value,Sheet1!E8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,WK,TA (%),,21.5,workbook_a,exact_workbook_value,Sheet1!F8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,TGS (%),,68.8,workbook_a,exact_workbook_value,Sheet1!C9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,MG (%),,4.8,workbook_a,exact_workbook_value,Sheet1!D9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,VMU (%),,2.1,workbook_a,exact_workbook_value,Sheet1!E9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,MC,TA (%),,24.3,workbook_a,exact_workbook_value,Sheet1!F9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,TGS (%),,74.1,workbook_a,exact_workbook_value,Sheet1!C10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,MG (%),,3.9,workbook_a,exact_workbook_value,Sheet1!D10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,VMU (%),,1.5,workbook_a,exact_workbook_value,Sheet1!E10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,TGAT,RT,TA (%),,20.5,workbook_a,exact_workbook_value,Sheet1!F10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
