dataset,model,solution,compute_units,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,MATG,1,1000,8.46119754,21.95851033,185.79537557,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00146381,0.08798202,0.77601522,2026-07-17
GT,JODIE,MATG,1,1000,2.45816662,21.95481367,53.96854621,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00151451,0.07292248,0.16193207,2026-07-17
GT,TGAT,MATG,1,1000,10.47093749,21.931851,229.64700899,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00109023,0.08292647,0.85535133,2026-07-17
GT,TGN,MATG,1,1000,10.47112725,21.91289067,229.45267303,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00163928,0.03091567,0.33302649,2026-07-17
LM,APAN,MATG,1,1000,6.37875776,21.975286,140.17506862,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00141879,0.05146645,0.35559444,2026-07-17
LM,JODIE,MATG,1,1000,2.45845039,21.954624,53.97434004,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00096662,0.03835993,0.08438097,2026-07-17
LM,TGAT,MATG,1,1000,8.14570088,21.92671933,178.60842255,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00146466,0.08322814,0.64840882,2026-07-17
LM,TGN,MATG,1,1000,8.14161541,21.94088867,178.63429041,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00071878,0.03587109,0.30417604,2026-07-17
MC,APAN,MATG,1,1000,15.73689593,22.00946867,346.36071345,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00194143,0.07828533,1.23079296,2026-07-17
MC,JODIE,MATG,1,1000,2.45791727,21.95975933,53.97524731,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00213558,0.04601584,0.10496229,2026-07-17
MC,TGAT,MATG,1,1000,18.11873285,22.01877,398.95219423,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0013583,0.02899074,0.50831168,2026-07-17
MC,TGN,MATG,1,1000,18.11651256,22.06342867,399.71240902,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00287201,0.09961206,1.81599825,2026-07-17
RT,APAN,MATG,1,1000,8.89178205,21.97746433,195.41879002,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00175124,0.07160493,0.62422081,2026-07-17
RT,JODIE,MATG,1,1000,2.45478356,21.940721,53.85960937,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0024871,0.06728372,0.11070829,2026-07-17
RT,TGAT,MATG,1,1000,10.82089774,21.93330967,237.33822864,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00427995,0.0465743,0.59489045,2026-07-17
RT,TGN,MATG,1,1000,10.81726865,21.96850133,237.63916334,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0024995,0.01046603,0.06750934,2026-07-17
WK,APAN,MATG,1,1000,8.27827143,21.979079,181.94873496,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00306368,0.02597647,0.16098003,2026-07-17
WK,JODIE,MATG,1,1000,2.4571439,22.00074367,54.05911791,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00246948,0.08849019,0.26523944,2026-07-17
WK,TGAT,MATG,1,1000,10.29262399,21.927402,225.69039964,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00224443,0.06972266,0.66904141,2026-07-17
WK,TGN,MATG,1,1000,10.29063902,21.96718767,226.05641049,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00092008,0.06443121,0.66966227,2026-07-17
WT,APAN,MATG,1,1000,19.69427269,21.95812767,432.44931828,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00162715,0.04144782,0.78190981,2026-07-17
WT,JODIE,MATG,1,1000,2.45561703,21.96827933,53.94569208,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00044807,0.04594922,0.12088629,2026-07-17
WT,TGAT,MATG,1,1000,20.66808794,22.02918633,455.30117695,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00092977,0.05874643,1.22039991,2026-07-17
WT,TGN,MATG,1,1000,20.66142068,21.932181,453.15002343,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00174487,0.03826642,0.79654709,2026-07-17
