dataset,model,solution,compute_units,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,RTGA,1,1000,5.86480707,22.09808467,129.60001593,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.01798568,0.08771435,0.19706545,2026-07-17
GT,JODIE,RTGA,1,1000,3.25876207,22.07930367,71.95032183,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.03085974,0.07424167,0.576606,2026-07-17
GT,TGAT,RTGA,1,1000,4.92647259,22.066575,108.71037427,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00082229,0.02276391,0.10964229,2026-07-17
GT,TGN,RTGA,1,1000,5.93039842,22.06047533,130.82736474,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00223701,0.04057347,0.20809785,2026-07-17
LM,APAN,RTGA,1,1000,5.63903433,22.00722667,124.09945248,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00145953,0.06829925,0.35947137,2026-07-17
LM,JODIE,RTGA,1,1000,3.74051157,22.06808933,82.54594474,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00136489,0.04867877,0.18529884,2026-07-17
LM,TGAT,RTGA,1,1000,5.82609552,22.08540333,128.67162887,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00312948,0.02003567,0.05281954,2026-07-17
LM,TGN,RTGA,1,1000,5.82553262,22.02654733,128.3163703,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00174062,0.08396133,0.49083476,2026-07-17
MC,APAN,RTGA,1,1000,5.22003051,22.05712367,115.13875889,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00256761,0.08067245,0.38232555,2026-07-17
MC,JODIE,RTGA,1,1000,3.80353981,22.118191,84.12741436,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00142719,0.05386272,0.20380717,2026-07-17
MC,TGAT,RTGA,1,1000,4.33615892,22.07267567,95.71056741,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00233155,0.07547258,0.30305821,2026-07-17
MC,TGN,RTGA,1,1000,5.33521643,22.057144,117.67963705,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00111077,0.02622945,0.14189165,2026-07-17
RT,APAN,RTGA,1,1000,5.92213117,22.07254333,130.71650283,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.01429164,0.10583599,0.70375485,2026-07-17
RT,JODIE,RTGA,1,1000,3.92671847,22.006592,86.41369919,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00049045,0.04693821,0.19006936,2026-07-17
RT,TGAT,RTGA,1,1000,4.95133991,22.15610633,109.70250378,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00130452,0.12036745,0.62116802,2026-07-17
RT,TGN,RTGA,1,1000,5.95140731,22.07393033,131.37088596,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00150265,0.06454248,0.35120224,2026-07-17
WK,APAN,RTGA,1,1000,5.30302258,22.045687,116.90837382,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.0095724,0.07047919,0.20804764,2026-07-17
WK,JODIE,RTGA,1,1000,3.89861652,22.08490533,86.10057532,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00030462,0.00765105,0.02387547,2026-07-17
WK,TGAT,RTGA,1,1000,4.5699799,22.02014633,100.63163224,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00101816,0.08196265,0.37770615,2026-07-17
WK,TGN,RTGA,1,1000,5.57006087,22.04174133,122.77383387,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00024251,0.05869577,0.32304659,2026-07-17
WT,APAN,RTGA,1,1000,5.02782053,22.08841567,111.05658883,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00067212,0.013709,0.06831723,2026-07-17
WT,JODIE,RTGA,1,1000,3.15731514,22.09795667,69.77019243,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00099568,0.03304191,0.08384242,2026-07-17
WT,TGAT,RTGA,1,1000,4.86557503,22.081837,107.44092564,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00673898,0.02200027,0.25069628,2026-07-17
WT,TGN,RTGA,1,1000,5.08575302,22.133162,112.5637522,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00120087,0.11191986,0.55677759,2026-07-17
