dataset,model,solution,compute_units,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,ViTeGNN,1,1000,6.7893474,22.04601433,149.67799152,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00144599,0.07225113,0.4640818,2026-07-17
GT,JODIE,ViTeGNN,1,1000,7.58280906,21.99267333,166.76624476,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00137962,0.01261406,0.10577134,2026-07-17
GT,TGAT,ViTeGNN,1,1000,7.84306793,22.09560233,173.29733052,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00139709,0.04146094,0.34255004,2026-07-17
GT,TGN,ViTeGNN,1,1000,7.84304387,22.031011,172.7901966,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00186386,0.02014699,0.17950664,2026-07-17
LM,APAN,ViTeGNN,1,1000,5.53525255,21.99715133,121.75977073,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00069768,0.04592848,0.24201838,2026-07-17
LM,JODIE,ViTeGNN,1,1000,6.38405978,21.99164333,140.39593998,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00229184,0.01720417,0.061753,2026-07-17
LM,TGAT,ViTeGNN,1,1000,5.58573011,22.04121033,123.11624749,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0007883,0.03193664,0.17432914,2026-07-17
LM,TGN,ViTeGNN,1,1000,6.58567259,22.03923367,145.14319904,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00110383,0.07650087,0.51372612,2026-07-17
MC,APAN,ViTeGNN,1,1000,6.348332,22.02858967,139.84487953,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00208141,0.07588183,0.51704927,2026-07-17
MC,JODIE,ViTeGNN,1,1000,7.94228764,22.02392367,174.92036386,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00099264,0.08624516,0.69568642,2026-07-17
MC,TGAT,ViTeGNN,1,1000,5.41170372,22.08477967,119.51628412,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00180574,0.03908227,0.21508464,2026-07-17
MC,TGN,ViTeGNN,1,1000,5.41092808,22.06471467,119.39057539,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00036776,0.05642448,0.30025612,2026-07-17
RT,APAN,ViTeGNN,1,1000,7.12067337,22.002,156.63041006,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.57788395,0.10521474,11.9687934,2026-07-17
RT,JODIE,ViTeGNN,1,1000,7.56639605,22.072162,167.00664359,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00105136,0.12062597,0.89199196,2026-07-17
RT,TGAT,ViTeGNN,1,1000,7.83606207,22.079535,173.01660346,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00010654,0.04877618,0.37998172,2026-07-17
RT,TGN,ViTeGNN,1,1000,7.83587638,22.038017,172.68723313,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00148359,0.05698619,0.47909714,2026-07-17
WK,APAN,ViTeGNN,1,1000,7.73404954,22.06168333,170.62614284,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00029634,0.06528209,0.50038662,2026-07-17
WK,JODIE,ViTeGNN,1,1000,6.54215471,22.11984433,144.71140219,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00048209,0.15581909,1.01057373,2026-07-17
WK,TGAT,ViTeGNN,1,1000,7.79038891,22.046051,171.74731013,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00117392,0.00235151,0.02078538,2026-07-17
WK,TGN,ViTeGNN,1,1000,7.79064223,21.991496,171.32790168,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00083976,0.0617016,0.49387403,2026-07-17
WT,APAN,ViTeGNN,1,1000,7.28778434,22.09048833,160.99071524,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00077599,0.03355606,0.24542581,2026-07-17
WT,JODIE,ViTeGNN,1,1000,5.80782247,22.097332,128.33735993,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00065057,0.04945542,0.27294508,2026-07-17
WT,TGAT,ViTeGNN,1,1000,7.6494336,22.00132667,168.29399296,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.5777115,0.01014702,12.63386693,2026-07-17
WT,TGN,ViTeGNN,1,1000,8.31719278,22.08429,183.67924567,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00082651,0.09403993,0.76396747,2026-07-17
