dataset,model,solution,compute_units,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,TempGNN,21,1000,1.00231548,33.35326167,33.43071316,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01698669,0.07954554,0.5916279,2026-07-17
GT,JODIE,TempGNN,21,1000,0.58118252,33.31938433,19.36463971,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00055184,0.01851942,0.01480939,2026-07-17
GT,TGAT,TempGNN,21,1000,1.93400059,33.366506,64.53044735,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01075888,0.05761729,0.25489009,2026-07-17
GT,TGN,TempGNN,21,1000,1.92750943,33.28525933,64.15733687,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00963463,0.14293415,0.34379339,2026-07-17
LM,APAN,TempGNN,21,1000,1.07364876,33.467475,35.93145713,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01849665,0.07939712,0.54530682,2026-07-17
LM,JODIE,TempGNN,21,1000,0.58044084,33.28333633,19.31918364,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00644219,0.07508543,0.24114502,2026-07-17
LM,TGAT,TempGNN,21,1000,2.29640595,33.34372833,76.56989425,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.02072365,0.18037465,0.67287902,2026-07-17
LM,TGN,TempGNN,21,1000,2.28002087,33.42130633,76.20139454,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00272008,0.12089253,0.33330315,2026-07-17
MC,APAN,TempGNN,21,1000,1.03708743,33.371884,34.6097374,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00795065,0.05920204,0.30384772,2026-07-17
MC,JODIE,TempGNN,21,1000,0.58884779,33.21756667,19.55993653,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01710929,0.11929531,0.56365493,2026-07-17
MC,TGAT,TempGNN,21,1000,2.45259063,33.31889967,81.71698051,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.02980774,0.03229887,0.91454219,2026-07-17
MC,TGN,TempGNN,21,1000,2.43545369,33.29690733,81.09302233,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01749153,0.15230717,0.68142771,2026-07-17
RT,APAN,TempGNN,21,1000,0.91668056,33.34497433,30.56678745,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.0049263,0.10740882,0.21377066,2026-07-17
RT,JODIE,TempGNN,21,1000,0.58613121,33.27825133,19.50543606,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00383949,0.06577475,0.13651036,2026-07-17
RT,TGAT,TempGNN,21,1000,1.4918697,33.31793567,49.70635961,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00900301,0.07636306,0.39229087,2026-07-17
RT,TGN,TempGNN,21,1000,1.50393033,33.366533,50.18020435,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00675773,0.19045226,0.14864457,2026-07-17
WK,APAN,TempGNN,21,1000,0.93339878,33.27284033,31.05677065,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00980564,0.00911632,0.31801911,2026-07-17
WK,JODIE,TempGNN,21,1000,0.56015254,33.26356933,18.63259601,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00547439,0.03280638,0.17089884,2026-07-17
WK,TGAT,TempGNN,21,1000,1.40907943,33.313267,46.94170076,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01969662,0.11209268,0.74192571,2026-07-17
WK,TGN,TempGNN,21,1000,1.40040921,33.342014,46.69119303,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00900774,0.21856497,0.07654568,2026-07-17
WT,APAN,TempGNN,21,1000,0.8456651,33.22705067,28.09868903,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00488322,0.12205109,0.12009323,2026-07-17
WT,JODIE,TempGNN,21,1000,0.57305915,33.302971,19.08490284,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01078922,0.08549691,0.38838922,2026-07-17
WT,TGAT,TempGNN,21,1000,1.35522608,33.32297933,45.16087612,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.01058153,0.17160699,0.52401563,2026-07-17
WT,TGN,TempGNN,21,1000,1.35216515,33.263631,44.97820687,168.0,168.0,168.0,168.0,0.002,0.0,PASS,3,0.00775747,0.05631918,0.33265937,2026-07-17
