dataset,figure,model,solution,value
WK,fig11_speedup_matg,JODIE,MATG,1.0
WK,fig11_speedup_matg,JODIE,ViTeGNN,0.9666
WK,fig11_speedup_matg,JODIE,RTGA,0.8477
WK,fig11_speedup_matg,JODIE,TempGNN,4.3866
WK,fig11_speedup_matg,TGN,MATG,1.0
WK,fig11_speedup_matg,TGN,ViTeGNN,3.6876
WK,fig11_speedup_matg,TGN,RTGA,2.2518
WK,fig11_speedup_matg,TGN,TempGNN,7.3483
WK,fig11_speedup_matg,TGAT,MATG,1.0
WK,fig11_speedup_matg,TGAT,ViTeGNN,3.6886
WK,fig11_speedup_matg,TGAT,RTGA,2.2522
WK,fig11_speedup_matg,TGAT,TempGNN,7.3045
WK,fig11_speedup_matg,APAN,MATG,1.0
WK,fig11_speedup_matg,APAN,ViTeGNN,3.0278
WK,fig11_speedup_matg,APAN,RTGA,2.054
WK,fig11_speedup_matg,APAN,TempGNN,8.869
MC,fig11_speedup_matg,JODIE,MATG,1.0
MC,fig11_speedup_matg,JODIE,ViTeGNN,0.8354
MC,fig11_speedup_matg,JODIE,RTGA,0.744
MC,fig11_speedup_matg,JODIE,TempGNN,4.1741
MC,fig11_speedup_matg,TGN,MATG,1.0
MC,fig11_speedup_matg,TGN,ViTeGNN,5.3113
MC,fig11_speedup_matg,TGN,RTGA,4.1789
MC,fig11_speedup_matg,TGN,TempGNN,7.4387
MC,fig11_speedup_matg,TGAT,MATG,1.0
MC,fig11_speedup_matg,TGAT,ViTeGNN,5.3108
MC,fig11_speedup_matg,TGAT,RTGA,4.1785
MC,fig11_speedup_matg,TGAT,TempGNN,7.3876
MC,fig11_speedup_matg,APAN,MATG,1.0
MC,fig11_speedup_matg,APAN,ViTeGNN,4.6999
MC,fig11_speedup_matg,APAN,RTGA,3.7291
MC,fig11_speedup_matg,APAN,TempGNN,15.1741
RT,fig11_speedup_matg,JODIE,MATG,1.0
RT,fig11_speedup_matg,JODIE,ViTeGNN,0.9565
RT,fig11_speedup_matg,JODIE,RTGA,0.8387
RT,fig11_speedup_matg,JODIE,TempGNN,4.1881
RT,fig11_speedup_matg,TGN,MATG,1.0
RT,fig11_speedup_matg,TGN,ViTeGNN,3.8144
RT,fig11_speedup_matg,TGN,RTGA,2.1847
RT,fig11_speedup_matg,TGN,TempGNN,7.1927
RT,fig11_speedup_matg,TGAT,MATG,1.0
RT,fig11_speedup_matg,TGAT,ViTeGNN,3.8155
RT,fig11_speedup_matg,TGAT,RTGA,2.1854
RT,fig11_speedup_matg,TGAT,TempGNN,7.2532
RT,fig11_speedup_matg,APAN,MATG,1.0
RT,fig11_speedup_matg,APAN,ViTeGNN,3.1901
RT,fig11_speedup_matg,APAN,RTGA,2.121
RT,fig11_speedup_matg,APAN,TempGNN,9.7
LM,fig11_speedup_matg,JODIE,MATG,1.0
LM,fig11_speedup_matg,JODIE,ViTeGNN,1.0312
LM,fig11_speedup_matg,JODIE,RTGA,0.8971
LM,fig11_speedup_matg,JODIE,TempGNN,4.2355
LM,fig11_speedup_matg,TGN,MATG,1.0
LM,fig11_speedup_matg,TGN,ViTeGNN,3.1487
LM,fig11_speedup_matg,TGN,RTGA,1.3976
LM,fig11_speedup_matg,TGN,TempGNN,3.5709
LM,fig11_speedup_matg,TGAT,MATG,1.0
LM,fig11_speedup_matg,TGAT,ViTeGNN,3.1503
LM,fig11_speedup_matg,TGAT,RTGA,1.3981
LM,fig11_speedup_matg,TGAT,TempGNN,3.5472
LM,fig11_speedup_matg,APAN,MATG,1.0
LM,fig11_speedup_matg,APAN,ViTeGNN,2.516
LM,fig11_speedup_matg,APAN,RTGA,1.375
LM,fig11_speedup_matg,APAN,TempGNN,5.9412
WT,fig11_speedup_matg,JODIE,MATG,1.0
WT,fig11_speedup_matg,JODIE,ViTeGNN,0.8746
WT,fig11_speedup_matg,JODIE,RTGA,0.7778
WT,fig11_speedup_matg,JODIE,TempGNN,4.2851
WT,fig11_speedup_matg,TGN,MATG,1.0
WT,fig11_speedup_matg,TGN,ViTeGNN,6.2286
WT,fig11_speedup_matg,TGN,RTGA,5.0569
WT,fig11_speedup_matg,TGN,TempGNN,15.2802
WT,fig11_speedup_matg,TGAT,MATG,1.0
WT,fig11_speedup_matg,TGAT,ViTeGNN,6.2326
WT,fig11_speedup_matg,TGAT,RTGA,5.0576
WT,fig11_speedup_matg,TGAT,TempGNN,15.2507
WT,fig11_speedup_matg,APAN,MATG,1.0
WT,fig11_speedup_matg,APAN,ViTeGNN,5.9901
WT,fig11_speedup_matg,APAN,RTGA,4.8896
WT,fig11_speedup_matg,APAN,TempGNN,23.2885
GT,fig11_speedup_matg,JODIE,MATG,1.0
GT,fig11_speedup_matg,JODIE,ViTeGNN,0.9517
GT,fig11_speedup_matg,JODIE,RTGA,0.8356
GT,fig11_speedup_matg,JODIE,TempGNN,4.2296
GT,fig11_speedup_matg,TGN,MATG,1.0
GT,fig11_speedup_matg,TGN,ViTeGNN,3.6831
GT,fig11_speedup_matg,TGN,RTGA,2.1238
GT,fig11_speedup_matg,TGN,TempGNN,5.4325
GT,fig11_speedup_matg,TGAT,MATG,1.0
GT,fig11_speedup_matg,TGAT,ViTeGNN,3.683
GT,fig11_speedup_matg,TGAT,RTGA,2.1254
GT,fig11_speedup_matg,TGAT,TempGNN,5.4141
GT,fig11_speedup_matg,APAN,MATG,1.0
GT,fig11_speedup_matg,APAN,ViTeGNN,3.0334
GT,fig11_speedup_matg,APAN,RTGA,2.0365
GT,fig11_speedup_matg,APAN,TempGNN,8.4417
AVG,fig11_speedup_matg,AVG,MATG,1.0
AVG,fig11_speedup_matg,AVG,ViTeGNN,3.3262
AVG,fig11_speedup_matg,AVG,RTGA,2.314
AVG,fig11_speedup_matg,AVG,TempGNN,7.8889
