dataset,figure,model,solution,value
WK,fig12_energy_tempgnn,JODIE,MATG,2.9013
WK,fig12_energy_tempgnn,JODIE,ViTeGNN,3.0179
WK,fig12_energy_tempgnn,JODIE,RTGA,3.4357
WK,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WK,fig12_energy_tempgnn,TGN,MATG,4.8415
WK,fig12_energy_tempgnn,TGN,ViTeGNN,1.3144
WK,fig12_energy_tempgnn,TGN,RTGA,2.1574
WK,fig12_energy_tempgnn,TGN,TempGNN,1.0
WK,fig12_energy_tempgnn,TGAT,MATG,4.8079
WK,fig12_energy_tempgnn,TGAT,ViTeGNN,1.3105
WK,fig12_energy_tempgnn,TGAT,RTGA,2.1438
WK,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WK,fig12_energy_tempgnn,APAN,MATG,5.8586
WK,fig12_energy_tempgnn,APAN,ViTeGNN,1.9422
WK,fig12_energy_tempgnn,APAN,RTGA,2.8609
WK,fig12_energy_tempgnn,APAN,TempGNN,1.0
MC,fig12_energy_tempgnn,JODIE,MATG,2.7595
MC,fig12_energy_tempgnn,JODIE,ViTeGNN,3.3129
MC,fig12_energy_tempgnn,JODIE,RTGA,3.7356
MC,fig12_energy_tempgnn,JODIE,TempGNN,1.0
MC,fig12_energy_tempgnn,TGN,MATG,4.9291
MC,fig12_energy_tempgnn,TGN,ViTeGNN,0.9281
MC,fig12_energy_tempgnn,TGN,RTGA,1.1792
MC,fig12_energy_tempgnn,TGN,TempGNN,1.0
MC,fig12_energy_tempgnn,TGAT,MATG,4.8821
MC,fig12_energy_tempgnn,TGAT,ViTeGNN,0.922
MC,fig12_energy_tempgnn,TGAT,RTGA,1.1712
MC,fig12_energy_tempgnn,TGAT,TempGNN,1.0
MC,fig12_energy_tempgnn,APAN,MATG,10.0076
MC,fig12_energy_tempgnn,APAN,ViTeGNN,2.1312
MC,fig12_energy_tempgnn,APAN,RTGA,2.6895
MC,fig12_energy_tempgnn,APAN,TempGNN,1.0
RT,fig12_energy_tempgnn,JODIE,MATG,2.7613
RT,fig12_energy_tempgnn,JODIE,ViTeGNN,2.9041
RT,fig12_energy_tempgnn,JODIE,RTGA,3.302
RT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
RT,fig12_energy_tempgnn,TGN,MATG,4.7357
RT,fig12_energy_tempgnn,TGN,ViTeGNN,1.2455
RT,fig12_energy_tempgnn,TGN,RTGA,2.1781
RT,fig12_energy_tempgnn,TGN,TempGNN,1.0
RT,fig12_energy_tempgnn,TGAT,MATG,4.7748
RT,fig12_energy_tempgnn,TGAT,ViTeGNN,1.2598
RT,fig12_energy_tempgnn,TGAT,RTGA,2.207
RT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
RT,fig12_energy_tempgnn,APAN,MATG,6.3932
RT,fig12_energy_tempgnn,APAN,ViTeGNN,2.0063
RT,fig12_energy_tempgnn,APAN,RTGA,3.0272
RT,fig12_energy_tempgnn,APAN,TempGNN,1.0
LM,fig12_energy_tempgnn,JODIE,MATG,2.7938
LM,fig12_energy_tempgnn,JODIE,ViTeGNN,2.7139
LM,fig12_energy_tempgnn,JODIE,RTGA,3.1305
LM,fig12_energy_tempgnn,JODIE,TempGNN,1.0
LM,fig12_energy_tempgnn,TGN,MATG,2.3442
LM,fig12_energy_tempgnn,TGN,ViTeGNN,0.7478
LM,fig12_energy_tempgnn,TGN,RTGA,1.6839
LM,fig12_energy_tempgnn,TGN,TempGNN,1.0
LM,fig12_energy_tempgnn,TGAT,MATG,2.3326
LM,fig12_energy_tempgnn,TGAT,ViTeGNN,0.7443
LM,fig12_energy_tempgnn,TGAT,RTGA,1.6804
LM,fig12_energy_tempgnn,TGAT,TempGNN,1.0
LM,fig12_energy_tempgnn,APAN,MATG,3.9012
LM,fig12_energy_tempgnn,APAN,ViTeGNN,1.5521
LM,fig12_energy_tempgnn,APAN,RTGA,2.8413
LM,fig12_energy_tempgnn,APAN,TempGNN,1.0
WT,fig12_energy_tempgnn,JODIE,MATG,2.8266
WT,fig12_energy_tempgnn,JODIE,ViTeGNN,3.251
WT,fig12_energy_tempgnn,JODIE,RTGA,3.6558
WT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WT,fig12_energy_tempgnn,TGN,MATG,10.0749
WT,fig12_energy_tempgnn,TGN,ViTeGNN,1.6287
WT,fig12_energy_tempgnn,TGN,RTGA,2.0105
WT,fig12_energy_tempgnn,TGN,TempGNN,1.0
WT,fig12_energy_tempgnn,TGAT,MATG,10.0818
WT,fig12_energy_tempgnn,TGAT,ViTeGNN,1.6155
WT,fig12_energy_tempgnn,TGAT,RTGA,1.9982
WT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WT,fig12_energy_tempgnn,APAN,MATG,15.3904
WT,fig12_energy_tempgnn,APAN,ViTeGNN,2.5848
WT,fig12_energy_tempgnn,APAN,RTGA,3.1663
WT,fig12_energy_tempgnn,APAN,TempGNN,1.0
GT,fig12_energy_tempgnn,JODIE,MATG,2.787
GT,fig12_energy_tempgnn,JODIE,ViTeGNN,2.9333
GT,fig12_energy_tempgnn,JODIE,RTGA,3.3543
GT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
GT,fig12_energy_tempgnn,TGN,MATG,3.5764
GT,fig12_energy_tempgnn,TGN,ViTeGNN,0.9763
GT,fig12_energy_tempgnn,TGN,RTGA,1.6953
GT,fig12_energy_tempgnn,TGN,TempGNN,1.0
GT,fig12_energy_tempgnn,TGAT,MATG,3.5587
GT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.9735
GT,fig12_energy_tempgnn,TGAT,RTGA,1.6846
GT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
GT,fig12_energy_tempgnn,APAN,MATG,5.5576
GT,fig12_energy_tempgnn,APAN,ViTeGNN,1.8394
GT,fig12_energy_tempgnn,APAN,RTGA,2.7464
GT,fig12_energy_tempgnn,APAN,TempGNN,1.0
AVG,fig12_energy_tempgnn,AVG,MATG,5.2032
AVG,fig12_energy_tempgnn,AVG,ViTeGNN,1.8273
AVG,fig12_energy_tempgnn,AVG,RTGA,2.489
AVG,fig12_energy_tempgnn,AVG,TempGNN,1.0
