dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,MATG,1000,8.42901355,21.99301333,185.37943015,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00126679,0.05731476,0.49644355,2026-07-15
GT,JODIE,MATG,1000,2.44291242,22.016247,53.7836775,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0015568,0.09713406,0.20899599,2026-07-15
GT,TGAT,MATG,1000,10.44117541,21.99065533,229.60826771,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00139565,0.04140732,0.41535633,2026-07-15
GT,TGN,MATG,1000,10.42714327,21.96568667,229.03932972,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00091018,0.06486847,0.66119126,2026-07-15
LM,APAN,MATG,1000,6.34169214,22.003077,139.5367702,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00151289,0.11744685,0.75388578,2026-07-15
LM,JODIE,MATG,1000,2.44615396,21.955819,53.70738413,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00235596,0.06630752,0.20087372,2026-07-15
LM,TGAT,MATG,1000,8.12594189,22.040186,179.09726062,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00259029,0.0247202,0.19325534,2026-07-15
LM,TGN,MATG,1000,8.11341267,21.985829,178.38009127,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00168702,0.04920002,0.393423,2026-07-15
MC,APAN,MATG,1000,15.69920363,21.95682933,344.70468254,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00107892,0.07151017,1.09902271,2026-07-15
MC,JODIE,MATG,1000,2.44158731,21.97439833,53.65240611,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00057444,0.01759278,0.03362132,2026-07-15
MC,TGAT,MATG,1000,18.1040878,21.96717667,397.69592276,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00301297,0.12052998,2.24456112,2026-07-15
MC,TGN,MATG,1000,18.08043992,21.96200433,397.08255256,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00354085,0.07356805,1.26324251,2026-07-15
RT,APAN,MATG,1000,8.85737448,21.90661267,194.03506988,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00137123,0.01841764,0.16481046,2026-07-15
RT,JODIE,MATG,1000,2.44505114,21.96766933,53.71205566,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00085105,0.06418422,0.14788083,2026-07-15
RT,TGAT,MATG,1000,10.8006856,21.959168,237.17408124,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00143764,0.02633056,0.30155479,2026-07-15
RT,TGN,MATG,1000,10.78562735,21.959647,236.84852166,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00362921,0.06836269,0.71749667,2026-07-15
WK,APAN,MATG,1000,8.22576604,21.972633,180.74173475,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00162039,0.06209664,0.50816365,2026-07-15
WK,JODIE,MATG,1000,2.44054113,21.92773967,53.51552856,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00127152,0.03615057,0.07127291,2026-07-15
WK,TGAT,MATG,1000,10.25734086,21.98656467,225.5236479,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00357246,0.05770913,0.57416716,2026-07-15
WK,TGN,MATG,1000,10.24489775,22.01787967,225.57091143,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00069944,0.05364228,0.54248317,2026-07-15
WT,APAN,MATG,1000,19.67689041,21.87282767,430.38919984,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00174455,0.09287238,1.81523595,2026-07-15
WT,JODIE,MATG,1000,2.44199901,21.93708733,53.57055436,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00291541,0.12668474,0.36530787,2026-07-15
WT,TGAT,MATG,1000,20.6540951,21.99567133,454.30066531,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00167493,0.07875838,1.61703232,2026-07-15
WT,TGN,MATG,1000,20.64349658,21.96354733,453.40438149,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0029228,0.06195466,1.25975085,2026-07-15
