dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,RTGA,1000,4.16205807,22.08510667,91.91942915,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00149653,0.08574592,0.33111036,2026-07-15
GT,JODIE,RTGA,1000,2.95285926,22.11058767,65.289513,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00239936,0.03769191,0.16378116,2026-07-15
GT,TGAT,RTGA,1000,4.93207758,22.08685633,108.9340858,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00049358,0.02144867,0.10181538,2026-07-15
GT,TGN,RTGA,1000,4.93351644,22.11925367,109.1257181,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00082578,0.09561387,0.47782737,2026-07-15
LM,APAN,RTGA,1000,4.64939885,22.133985,102.90968246,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00066305,0.10590496,0.47893265,2026-07-15
LM,JODIE,RTGA,1000,2.74488162,22.12551633,60.73188078,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00075123,0.15092037,0.40527785,2026-07-15
LM,TGAT,RTGA,1000,5.83955581,22.084895,128.96598851,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00200884,0.00913055,0.09769245,2026-07-15
LM,TGN,RTGA,1000,5.83664958,22.100225,128.99122936,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00129298,0.04759419,0.24966438,2026-07-15
MC,APAN,RTGA,1000,4.22644932,22.10785567,93.43774368,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00091168,0.01939144,0.10173716,2026-07-15
MC,JODIE,RTGA,1000,3.30841294,22.165636,73.33300968,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00135446,0.13726673,0.43863667,2026-07-15
MC,TGAT,RTGA,1000,4.33880229,22.16955633,96.18914791,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.0027291,0.11170224,0.43397706,2026-07-15
MC,TGN,RTGA,1000,4.33985959,22.13690667,96.07104262,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00245943,0.09745367,0.41843096,2026-07-15
RT,APAN,RTGA,1000,4.19608924,22.19327633,93.12496563,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00112116,0.09268583,0.38911364,2026-07-15
RT,JODIE,RTGA,1000,2.93450497,22.09027233,64.82397513,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00171552,0.05301859,0.13458916,2026-07-15
RT,TGAT,RTGA,1000,4.95714366,22.19660867,110.03183894,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00149004,0.06516079,0.35435737,2026-07-15
RT,TGN,RTGA,1000,4.95864274,22.09035467,109.538243,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00303877,0.06788996,0.37325168,2026-07-15
WK,APAN,RTGA,1000,4.03776929,22.05325533,89.0459589,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00156876,0.07888251,0.32106744,2026-07-15
WK,JODIE,RTGA,1000,2.90803867,22.130919,64.35755634,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00197912,0.03885569,0.11206204,2026-07-15
WK,TGAT,RTGA,1000,4.57829858,22.15446567,101.42969524,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.001801,0.06962843,0.28970251,2026-07-15
WK,TGN,RTGA,1000,4.58073899,22.14085767,101.42147069,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00356438,0.07080551,0.32518145,2026-07-15
WT,APAN,RTGA,1000,4.03382786,22.078753,89.06185933,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.0006341,0.07906609,0.30661995,2026-07-15
WT,JODIE,RTGA,1000,3.158544,22.162384,70.00078951,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00182096,0.06784195,0.17808562,2026-07-15
WT,TGAT,RTGA,1000,4.09067503,22.112032,90.45307921,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00183449,0.08137388,0.31106917,2026-07-15
WT,TGN,RTGA,1000,4.08797381,22.14825567,90.54147251,225.0,225.0,225.0,225.0,0.002,0.0,PASS,3,0.00139793,0.07789381,0.31252829,2026-07-15
