dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,ViTeGNN,1000,2.78932859,22.144668,61.76878774,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00270793,0.12548375,0.36333617,2026-07-15
GT,JODIE,ViTeGNN,1000,2.57741795,22.031039,56.78317355,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00118756,0.02924846,0.05020615,2026-07-15
GT,TGAT,ViTeGNN,1000,2.84476911,22.02621367,62.65952187,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00054632,0.08325567,0.24858805,2026-07-15
GT,TGN,ViTeGNN,1000,2.84601578,22.02477,62.68286229,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00142926,0.02660579,0.10132814,2026-07-15
LM,APAN,ViTeGNN,1000,2.53462258,22.045195,55.87607025,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00384025,0.11413802,0.24681348,2026-07-15
LM,JODIE,ViTeGNN,1000,2.38051809,22.03060767,52.44423646,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00109791,0.0515984,0.10975224,2026-07-15
LM,TGAT,ViTeGNN,1000,2.58022483,22.09055967,56.99861412,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00247166,0.06189521,0.17044737,2026-07-15
LM,TGN,ViTeGNN,1000,2.58389113,22.04327,56.95724731,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00259479,0.13164834,0.30200747,2026-07-15
MC,APAN,ViTeGNN,1000,3.34385457,22.10006933,73.89946692,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00138404,0.07544689,0.27505939,2026-07-15
MC,JODIE,ViTeGNN,1000,2.9318082,22.08452067,64.74761041,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00156653,0.03947798,0.14418422,2026-07-15
MC,TGAT,ViTeGNN,1000,3.41444808,22.09045967,75.42674306,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00052939,0.04528241,0.16622962,2026-07-15
MC,TGN,ViTeGNN,1000,3.41506371,22.05226933,75.30990519,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0013861,0.01200628,0.0538279,2026-07-15
RT,APAN,ViTeGNN,1000,2.7832803,22.06561633,61.41470588,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00146376,0.09175885,0.22340982,2026-07-15
RT,JODIE,ViTeGNN,1000,2.5662527,21.993867,56.44181713,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00011388,0.0639246,0.16257787,2026-07-15
RT,TGAT,ViTeGNN,1000,2.83895456,22.04303167,62.57919094,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00075883,0.09533557,0.2799231,2026-07-15
RT,TGN,ViTeGNN,1000,2.83958854,22.11814133,62.806474,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0013996,0.05754646,0.19431351,2026-07-15
WK,APAN,ViTeGNN,1000,2.73060215,22.120999,60.40364685,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00022798,0.00287146,0.0038141,2026-07-15
WK,JODIE,ViTeGNN,1000,2.53907829,21.976926,55.80112709,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00201055,0.0201214,0.05582857,2026-07-15
WK,TGAT,ViTeGNN,1000,2.78752104,22.034742,61.42233705,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00130983,0.03519802,0.12680851,2026-07-15
WK,TGN,ViTeGNN,1000,2.7870915,22.054423,61.46771655,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00204084,0.07181306,0.21459615,2026-07-15
WT,APAN,ViTeGNN,1000,3.2928723,21.96284667,72.32083001,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00107899,0.04802257,0.14659455,2026-07-15
WT,JODIE,ViTeGNN,1000,2.78522024,22.09990367,61.55307425,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00235127,0.01935765,0.0319532,2026-07-15
WT,TGAT,ViTeGNN,1000,3.31587123,22.07803467,73.20795982,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00097971,0.12875714,0.4376054,2026-07-15
WT,TGN,ViTeGNN,1000,3.31729325,22.05182367,73.15242002,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00150345,0.07794822,0.28236644,2026-07-15
