dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,TempGNN,1000,815.50122183,22.07077867,17998.74720487,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0050567,0.05474321,44.71534415,2026-07-15
GT,JODIE,TempGNN,1000,54.40934888,22.08445367,1201.60075019,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00346257,0.02325609,1.27243004,2026-07-15
GT,TGAT,TempGNN,1000,3318.321199,22.016024,73056.23766397,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.01472282,0.06964996,230.83654688,2026-07-15
GT,TGN,TempGNN,1000,3318.32932467,22.14493833,73484.19878905,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.02277775,0.02652446,87.68553274,2026-07-15
LM,APAN,TempGNN,1000,1275.62523378,22.091101,28179.96616107,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00971305,0.08470195,108.25222274,2026-07-15
LM,JODIE,TempGNN,1000,53.53003044,22.015098,1178.46880773,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00085324,0.07645453,4.07422567,2026-07-15
LM,TGAT,TempGNN,1000,5576.39796567,21.98770433,122612.190844,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0142517,0.03899457,217.70938465,2026-07-15
LM,TGN,TempGNN,1000,5576.38297667,22.01976333,122790.63248131,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0100663,0.03546547,197.57043567,2026-07-15
MC,APAN,TempGNN,1000,746.17578153,22.07684,16473.20404606,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.01019346,0.10163585,76.00446581,2026-07-15
MC,JODIE,TempGNN,1000,81.60797431,21.97059167,1792.9753459,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00238334,0.07930265,6.41946737,2026-07-15
MC,TGAT,TempGNN,1000,3341.313504,22.01234133,73550.13234556,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0170203,0.04616117,153.90120826,2026-07-15
MC,TGN,TempGNN,1000,3341.311205,22.05447433,73690.86154327,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.01524399,0.06324304,211.21575795,2026-07-15
RT,APAN,TempGNN,1000,557.76162156,22.03887667,12292.43950307,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00385079,0.02863981,15.98496705,2026-07-15
RT,JODIE,TempGNN,1000,49.95790599,22.035792,1100.86204798,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00402261,0.07821872,3.92057095,2026-07-15
RT,TGAT,TempGNN,1000,2162.66866067,22.06368833,47716.44744651,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00776629,0.03685842,79.79094697,2026-07-15
RT,TGN,TempGNN,1000,2162.66862967,22.04541,47676.91629642,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.0105138,0.032241,69.50981611,2026-07-15
WK,APAN,TempGNN,1000,344.18682348,22.03399533,7583.81059168,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00824448,0.07185664,24.57146945,2026-07-15
WK,JODIE,TempGNN,1000,42.28552115,22.089246,934.05535818,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00213757,0.05353354,2.31040162,2026-07-15
WK,TGAT,TempGNN,1000,936.839298,21.98906167,20600.21716255,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00992269,0.03557243,33.128674,2026-07-15
WK,TGN,TempGNN,1000,936.83191425,22.03057233,20638.94328002,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00174424,0.05565479,52.14101447,2026-07-15
WT,APAN,TempGNN,1000,1278.53506844,22.08962667,28242.36207501,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00585497,0.04174188,53.27594601,2026-07-15
WT,JODIE,TempGNN,1000,251.57333081,22.03462633,5543.32450508,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00770548,0.0719514,18.16710152,2026-07-15
WT,TGAT,TempGNN,1000,4066.36163667,22.102501,89876.76187857,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00479664,0.04670767,189.96406486,2026-07-15
WT,TGN,TempGNN,1000,4066.35569533,22.02749133,89571.61436003,225.0,225.0,225.0,225.0,0.016,0.0,PASS,3,0.00207665,0.02467536,100.38037721,2026-07-15
