dataset,figure,model,solution,value
WK,fig11_speedup_matg,JODIE,MATG,1.0
WK,fig11_speedup_matg,JODIE,ViTeGNN,0.9612
WK,fig11_speedup_matg,JODIE,RTGA,0.8392
WK,fig11_speedup_matg,JODIE,TempGNN,0.0577
WK,fig11_speedup_matg,TGN,MATG,1.0
WK,fig11_speedup_matg,TGN,ViTeGNN,3.6758
WK,fig11_speedup_matg,TGN,RTGA,2.2365
WK,fig11_speedup_matg,TGN,TempGNN,0.0109
WK,fig11_speedup_matg,TGAT,MATG,1.0
WK,fig11_speedup_matg,TGAT,ViTeGNN,3.6797
WK,fig11_speedup_matg,TGAT,RTGA,2.2404
WK,fig11_speedup_matg,TGAT,TempGNN,0.0109
WK,fig11_speedup_matg,APAN,MATG,1.0
WK,fig11_speedup_matg,APAN,ViTeGNN,3.0124
WK,fig11_speedup_matg,APAN,RTGA,2.0372
WK,fig11_speedup_matg,APAN,TempGNN,0.0239
MC,fig11_speedup_matg,JODIE,MATG,1.0
MC,fig11_speedup_matg,JODIE,ViTeGNN,0.8328
MC,fig11_speedup_matg,JODIE,RTGA,0.738
MC,fig11_speedup_matg,JODIE,TempGNN,0.0299
MC,fig11_speedup_matg,TGN,MATG,1.0
MC,fig11_speedup_matg,TGN,ViTeGNN,5.2943
MC,fig11_speedup_matg,TGN,RTGA,4.1661
MC,fig11_speedup_matg,TGN,TempGNN,0.0054
MC,fig11_speedup_matg,TGAT,MATG,1.0
MC,fig11_speedup_matg,TGAT,ViTeGNN,5.3022
MC,fig11_speedup_matg,TGAT,RTGA,4.1726
MC,fig11_speedup_matg,TGAT,TempGNN,0.0054
MC,fig11_speedup_matg,APAN,MATG,1.0
MC,fig11_speedup_matg,APAN,ViTeGNN,4.6949
MC,fig11_speedup_matg,APAN,RTGA,3.7145
MC,fig11_speedup_matg,APAN,TempGNN,0.021
RT,fig11_speedup_matg,JODIE,MATG,1.0
RT,fig11_speedup_matg,JODIE,ViTeGNN,0.9528
RT,fig11_speedup_matg,JODIE,RTGA,0.8332
RT,fig11_speedup_matg,JODIE,TempGNN,0.0489
RT,fig11_speedup_matg,TGN,MATG,1.0
RT,fig11_speedup_matg,TGN,ViTeGNN,3.7983
RT,fig11_speedup_matg,TGN,RTGA,2.1751
RT,fig11_speedup_matg,TGN,TempGNN,0.005
RT,fig11_speedup_matg,TGAT,MATG,1.0
RT,fig11_speedup_matg,TGAT,ViTeGNN,3.8045
RT,fig11_speedup_matg,TGAT,RTGA,2.1788
RT,fig11_speedup_matg,TGAT,TempGNN,0.005
RT,fig11_speedup_matg,APAN,MATG,1.0
RT,fig11_speedup_matg,APAN,ViTeGNN,3.1824
RT,fig11_speedup_matg,APAN,RTGA,2.1109
RT,fig11_speedup_matg,APAN,TempGNN,0.0159
LM,fig11_speedup_matg,JODIE,MATG,1.0
LM,fig11_speedup_matg,JODIE,ViTeGNN,1.0276
LM,fig11_speedup_matg,JODIE,RTGA,0.8912
LM,fig11_speedup_matg,JODIE,TempGNN,0.0457
LM,fig11_speedup_matg,TGN,MATG,1.0
LM,fig11_speedup_matg,TGN,ViTeGNN,3.14
LM,fig11_speedup_matg,TGN,RTGA,1.3901
LM,fig11_speedup_matg,TGN,TempGNN,0.0015
LM,fig11_speedup_matg,TGAT,MATG,1.0
LM,fig11_speedup_matg,TGAT,ViTeGNN,3.1493
LM,fig11_speedup_matg,TGAT,RTGA,1.3915
LM,fig11_speedup_matg,TGAT,TempGNN,0.0015
LM,fig11_speedup_matg,APAN,MATG,1.0
LM,fig11_speedup_matg,APAN,ViTeGNN,2.502
LM,fig11_speedup_matg,APAN,RTGA,1.364
LM,fig11_speedup_matg,APAN,TempGNN,0.005
WT,fig11_speedup_matg,JODIE,MATG,1.0
WT,fig11_speedup_matg,JODIE,ViTeGNN,0.8768
WT,fig11_speedup_matg,JODIE,RTGA,0.7731
WT,fig11_speedup_matg,JODIE,TempGNN,0.0097
WT,fig11_speedup_matg,TGN,MATG,1.0
WT,fig11_speedup_matg,TGN,ViTeGNN,6.223
WT,fig11_speedup_matg,TGN,RTGA,5.0498
WT,fig11_speedup_matg,TGN,TempGNN,0.0051
WT,fig11_speedup_matg,TGAT,MATG,1.0
WT,fig11_speedup_matg,TGAT,ViTeGNN,6.2289
WT,fig11_speedup_matg,TGAT,RTGA,5.0491
WT,fig11_speedup_matg,TGAT,TempGNN,0.0051
WT,fig11_speedup_matg,APAN,MATG,1.0
WT,fig11_speedup_matg,APAN,ViTeGNN,5.9756
WT,fig11_speedup_matg,APAN,RTGA,4.878
WT,fig11_speedup_matg,APAN,TempGNN,0.0154
GT,fig11_speedup_matg,JODIE,MATG,1.0
GT,fig11_speedup_matg,JODIE,ViTeGNN,0.9478
GT,fig11_speedup_matg,JODIE,RTGA,0.8273
GT,fig11_speedup_matg,JODIE,TempGNN,0.0449
GT,fig11_speedup_matg,TGN,MATG,1.0
GT,fig11_speedup_matg,TGN,ViTeGNN,3.6638
GT,fig11_speedup_matg,TGN,RTGA,2.1135
GT,fig11_speedup_matg,TGN,TempGNN,0.0031
GT,fig11_speedup_matg,TGAT,MATG,1.0
GT,fig11_speedup_matg,TGAT,ViTeGNN,3.6703
GT,fig11_speedup_matg,TGAT,RTGA,2.117
GT,fig11_speedup_matg,TGAT,TempGNN,0.0031
GT,fig11_speedup_matg,APAN,MATG,1.0
GT,fig11_speedup_matg,APAN,ViTeGNN,3.0219
GT,fig11_speedup_matg,APAN,RTGA,2.0252
GT,fig11_speedup_matg,APAN,TempGNN,0.0103
AVG,fig11_speedup_matg,AVG,MATG,1.0
AVG,fig11_speedup_matg,AVG,ViTeGNN,3.3174
AVG,fig11_speedup_matg,AVG,RTGA,2.3047
AVG,fig11_speedup_matg,AVG,TempGNN,0.0163
