dataset,figure,model,solution,value
WK,fig12_energy_tempgnn,JODIE,MATG,0.0573
WK,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0597
WK,fig12_energy_tempgnn,JODIE,RTGA,0.0689
WK,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WK,fig12_energy_tempgnn,TGN,MATG,0.0109
WK,fig12_energy_tempgnn,TGN,ViTeGNN,0.003
WK,fig12_energy_tempgnn,TGN,RTGA,0.0049
WK,fig12_energy_tempgnn,TGN,TempGNN,1.0
WK,fig12_energy_tempgnn,TGAT,MATG,0.0109
WK,fig12_energy_tempgnn,TGAT,ViTeGNN,0.003
WK,fig12_energy_tempgnn,TGAT,RTGA,0.0049
WK,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WK,fig12_energy_tempgnn,APAN,MATG,0.0238
WK,fig12_energy_tempgnn,APAN,ViTeGNN,0.008
WK,fig12_energy_tempgnn,APAN,RTGA,0.0117
WK,fig12_energy_tempgnn,APAN,TempGNN,1.0
MC,fig12_energy_tempgnn,JODIE,MATG,0.0299
MC,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0361
MC,fig12_energy_tempgnn,JODIE,RTGA,0.0409
MC,fig12_energy_tempgnn,JODIE,TempGNN,1.0
MC,fig12_energy_tempgnn,TGN,MATG,0.0054
MC,fig12_energy_tempgnn,TGN,ViTeGNN,0.001
MC,fig12_energy_tempgnn,TGN,RTGA,0.0013
MC,fig12_energy_tempgnn,TGN,TempGNN,1.0
MC,fig12_energy_tempgnn,TGAT,MATG,0.0054
MC,fig12_energy_tempgnn,TGAT,ViTeGNN,0.001
MC,fig12_energy_tempgnn,TGAT,RTGA,0.0013
MC,fig12_energy_tempgnn,TGAT,TempGNN,1.0
MC,fig12_energy_tempgnn,APAN,MATG,0.0209
MC,fig12_energy_tempgnn,APAN,ViTeGNN,0.0045
MC,fig12_energy_tempgnn,APAN,RTGA,0.0057
MC,fig12_energy_tempgnn,APAN,TempGNN,1.0
RT,fig12_energy_tempgnn,JODIE,MATG,0.0488
RT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0513
RT,fig12_energy_tempgnn,JODIE,RTGA,0.0589
RT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
RT,fig12_energy_tempgnn,TGN,MATG,0.005
RT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0013
RT,fig12_energy_tempgnn,TGN,RTGA,0.0023
RT,fig12_energy_tempgnn,TGN,TempGNN,1.0
RT,fig12_energy_tempgnn,TGAT,MATG,0.005
RT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0013
RT,fig12_energy_tempgnn,TGAT,RTGA,0.0023
RT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
RT,fig12_energy_tempgnn,APAN,MATG,0.0158
RT,fig12_energy_tempgnn,APAN,ViTeGNN,0.005
RT,fig12_energy_tempgnn,APAN,RTGA,0.0076
RT,fig12_energy_tempgnn,APAN,TempGNN,1.0
LM,fig12_energy_tempgnn,JODIE,MATG,0.0456
LM,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0445
LM,fig12_energy_tempgnn,JODIE,RTGA,0.0515
LM,fig12_energy_tempgnn,JODIE,TempGNN,1.0
LM,fig12_energy_tempgnn,TGN,MATG,0.0015
LM,fig12_energy_tempgnn,TGN,ViTeGNN,0.0005
LM,fig12_energy_tempgnn,TGN,RTGA,0.0011
LM,fig12_energy_tempgnn,TGN,TempGNN,1.0
LM,fig12_energy_tempgnn,TGAT,MATG,0.0015
LM,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0005
LM,fig12_energy_tempgnn,TGAT,RTGA,0.0011
LM,fig12_energy_tempgnn,TGAT,TempGNN,1.0
LM,fig12_energy_tempgnn,APAN,MATG,0.005
LM,fig12_energy_tempgnn,APAN,ViTeGNN,0.002
LM,fig12_energy_tempgnn,APAN,RTGA,0.0037
LM,fig12_energy_tempgnn,APAN,TempGNN,1.0
WT,fig12_energy_tempgnn,JODIE,MATG,0.0097
WT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0111
WT,fig12_energy_tempgnn,JODIE,RTGA,0.0126
WT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WT,fig12_energy_tempgnn,TGN,MATG,0.0051
WT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0008
WT,fig12_energy_tempgnn,TGN,RTGA,0.001
WT,fig12_energy_tempgnn,TGN,TempGNN,1.0
WT,fig12_energy_tempgnn,TGAT,MATG,0.0051
WT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0008
WT,fig12_energy_tempgnn,TGAT,RTGA,0.001
WT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WT,fig12_energy_tempgnn,APAN,MATG,0.0152
WT,fig12_energy_tempgnn,APAN,ViTeGNN,0.0026
WT,fig12_energy_tempgnn,APAN,RTGA,0.0032
WT,fig12_energy_tempgnn,APAN,TempGNN,1.0
GT,fig12_energy_tempgnn,JODIE,MATG,0.0448
GT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0473
GT,fig12_energy_tempgnn,JODIE,RTGA,0.0543
GT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
GT,fig12_energy_tempgnn,TGN,MATG,0.0031
GT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0009
GT,fig12_energy_tempgnn,TGN,RTGA,0.0015
GT,fig12_energy_tempgnn,TGN,TempGNN,1.0
GT,fig12_energy_tempgnn,TGAT,MATG,0.0031
GT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0009
GT,fig12_energy_tempgnn,TGAT,RTGA,0.0015
GT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
GT,fig12_energy_tempgnn,APAN,MATG,0.0103
GT,fig12_energy_tempgnn,APAN,ViTeGNN,0.0034
GT,fig12_energy_tempgnn,APAN,RTGA,0.0051
GT,fig12_energy_tempgnn,APAN,TempGNN,1.0
AVG,fig12_energy_tempgnn,AVG,MATG,0.0162
AVG,fig12_energy_tempgnn,AVG,ViTeGNN,0.0121
AVG,fig12_energy_tempgnn,AVG,RTGA,0.0145
AVG,fig12_energy_tempgnn,AVG,TempGNN,1.0
