dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,MATG,1000,8.4599051,22.101022,186.9725474,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,JODIE,MATG,1000,2.45905451,21.933824,53.93646842,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGAT,MATG,1000,10.49362234,21.963211,230.47364555,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGN,MATG,1000,10.45675397,21.910698,229.11478001,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,APAN,MATG,1000,6.37172761,22.013074,140.26131091,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,JODIE,MATG,1000,2.45916538,21.95223,53.98416292,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGAT,MATG,1000,8.1812412,21.993809,179.93665517,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGN,MATG,1000,8.13848656,21.957596,178.70160371,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,APAN,MATG,1000,15.73659186,22.074438,347.37641538,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,JODIE,MATG,1000,2.45900973,22.052785,54.22801328,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGAT,MATG,1000,18.13759176,21.946616,398.05875605,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGN,MATG,1000,18.12181658,21.862768,396.1930702,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,APAN,MATG,1000,8.89201812,21.9868,195.50702595,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,JODIE,MATG,1000,2.45023981,21.909949,53.68462894,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGAT,MATG,1000,10.83525914,21.998002,238.3540515,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGN,MATG,1000,10.81436869,21.970203,237.59387961,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,APAN,MATG,1000,8.26331009,21.941856,181.31235734,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,JODIE,MATG,1000,2.45811064,21.931368,53.90972982,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGAT,MATG,1000,10.31538857,21.910532,226.01565454,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGN,MATG,1000,10.28078881,22.027709,226.46222345,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,APAN,MATG,1000,19.69465077,21.96166,432.52723315,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,JODIE,MATG,1000,2.459175,21.974532,54.03921845,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGAT,MATG,1000,20.68269578,21.907116,453.09821885,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGN,MATG,1000,20.65680459,21.950046,453.4178173,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
