dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,RTGA,1000,4.15883606,22.084895,91.8474594,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,JODIE,RTGA,1000,2.93510939,22.045229,64.70515837,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGAT,RTGA,1000,4.92659678,22.20758,109.40778987,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGN,RTGA,1000,4.92850547,22.069948,108.77185873,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,APAN,RTGA,1000,4.63915877,22.087638,102.46805985,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,JODIE,RTGA,1000,2.73047745,22.160457,60.50862784,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGAT,RTGA,1000,5.8217902,22.105602,128.69417583,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGN,RTGA,1000,5.82681085,22.13673,128.98653803,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,APAN,RTGA,1000,4.21176579,22.083589,93.01090543,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,JODIE,RTGA,1000,3.29356652,22.164243,72.99940825,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGAT,RTGA,1000,4.32099217,22.063666,95.33692745,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGN,RTGA,1000,4.32226697,22.121518,95.6151069,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,APAN,RTGA,1000,4.18436598,21.989879,92.01369942,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,JODIE,RTGA,1000,2.91583212,22.065844,64.34029643,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGAT,RTGA,1000,4.9461975,22.053818,109.08253862,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGN,RTGA,1000,4.94591025,22.113592,109.37183969,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,APAN,RTGA,1000,4.02745105,22.104934,89.0265406,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,JODIE,RTGA,1000,2.8941257,21.958555,63.55081778,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGAT,RTGA,1000,4.56326195,22.060716,100.66882426,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGN,RTGA,1000,4.55881916,22.05775,100.55729507,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,APAN,RTGA,1000,4.01668844,22.147142,88.95817059,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,JODIE,RTGA,1000,3.14752933,22.140711,69.6885363,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGAT,RTGA,1000,4.0750867,22.076133,89.96215403,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGN,RTGA,1000,4.07055374,22.045273,89.73646764,225.0,225.0,225.0,225.0,0.002,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
