dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,ViTeGNN,1000,2.78851525,22.083279,61.57955966,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,JODIE,ViTeGNN,1000,2.58764745,22.128357,57.26038735,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGAT,ViTeGNN,1000,2.84538616,21.887193,62.27751741,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGN,ViTeGNN,1000,2.84556618,22.144926,63.01485294,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,APAN,ViTeGNN,1000,2.53357149,22.159771,56.14336493,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,JODIE,ViTeGNN,1000,2.38244644,22.178912,52.84007097,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGAT,ViTeGNN,1000,2.5859335,22.036501,56.98492717,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGN,ViTeGNN,1000,2.58672511,22.065629,57.07771697,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,APAN,ViTeGNN,1000,3.34562269,22.176639,74.19466673,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,JODIE,ViTeGNN,1000,2.92906717,21.912524,64.18325508,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGAT,ViTeGNN,1000,3.41028724,22.160921,75.57510501,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGN,ViTeGNN,1000,3.40997348,21.976808,74.94033298,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,APAN,ViTeGNN,1000,2.78728855,21.971899,61.24202227,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,JODIE,ViTeGNN,1000,2.56618735,21.993445,56.43929962,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGAT,ViTeGNN,1000,2.84107349,22.057175,62.66605435,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGN,ViTeGNN,1000,2.84124821,22.040484,62.62248667,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,APAN,ViTeGNN,1000,2.7301533,22.008831,60.08748308,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,JODIE,ViTeGNN,1000,2.54208087,21.939869,55.77292227,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGAT,ViTeGNN,1000,2.79248231,21.947756,61.28872014,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGN,ViTeGNN,1000,2.79140822,21.996726,61.40184254,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,APAN,ViTeGNN,1000,3.28584324,22.074911,72.53469656,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,JODIE,ViTeGNN,1000,2.7856527,21.952427,61.15183606,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGAT,ViTeGNN,1000,3.31502911,21.923705,72.67772187,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGN,ViTeGNN,1000,3.31512448,21.97047,72.83484261,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
