dataset,model,solution,batch_size,latency_ms,power_w,energy_mj,frequency_mhz,requested_frequency_mhz,xclbin_link_requested_frequency_mhz,post_route_kernel_frequency_mhz,post_route_wns_ns,post_route_tns_ns,timing_met,repetitions,latency_stddev_ms,power_stddev_w,energy_stddev_mj,measurement_date
GT,APAN,TempGNN,1000,815.41435625,22.075225,18000.45565425,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,JODIE,TempGNN,1000,54.37830768,21.997421,1196.18254993,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGAT,TempGNN,1000,3318.483715,21.978219,72934.36278434,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
GT,TGN,TempGNN,1000,3318.48422,21.937386,72798.87069126,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,APAN,TempGNN,1000,1275.535454,22.114132,28207.35948016,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,JODIE,TempGNN,1000,53.48829767,22.08095,1181.07242636,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGAT,TempGNN,1000,5576.546552,21.925365,122267.81762226,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
LM,TGN,TempGNN,1000,5576.531408,22.013237,122757.50630996,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,APAN,TempGNN,1000,745.9967616,22.066429,16461.48448631,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,JODIE,TempGNN,1000,81.58428065,22.00888,1795.57860503,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGAT,TempGNN,1000,3341.22444,22.053902,73687.03635976,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
MC,TGN,TempGNN,1000,3341.228842,22.117193,73898.60434898,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,APAN,TempGNN,1000,557.45944867,22.034287,12283.22159428,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,JODIE,TempGNN,1000,49.92968534,22.121402,1104.51464892,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGAT,TempGNN,1000,2162.4357375,22.09751,47784.44497336,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
RT,TGN,TempGNN,1000,2162.4287885,22.169816,47940.64797254,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,APAN,TempGNN,1000,344.137251,22.020932,7578.22308235,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,JODIE,TempGNN,1000,42.25702373,22.229727,939.36212091,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGAT,TempGNN,1000,936.91330975,22.008304,20619.87325493,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WK,TGN,TempGNN,1000,936.9214845,21.973255,20587.21438159,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,APAN,TempGNN,1000,1278.39734233,22.070668,28215.08323475,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,JODIE,TempGNN,1000,251.53247292,22.224446,5590.16980354,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGAT,TempGNN,1000,4066.125817,22.137152,90012.44602445,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
WT,TGN,TempGNN,1000,4066.143454,22.107413,89891.91113002,225.0,225.0,225.0,225.0,0.016,0.0,PASS,1,0.0,0.0,0.0,2026-07-15
