dataset,figure,model,solution,value
WK,fig11_speedup_matg,JODIE,MATG,1.0
WK,fig11_speedup_matg,JODIE,ViTeGNN,0.967
WK,fig11_speedup_matg,JODIE,RTGA,0.8493
WK,fig11_speedup_matg,JODIE,TempGNN,0.0582
WK,fig11_speedup_matg,TGN,MATG,1.0
WK,fig11_speedup_matg,TGN,ViTeGNN,3.683
WK,fig11_speedup_matg,TGN,RTGA,2.2551
WK,fig11_speedup_matg,TGN,TempGNN,0.011
WK,fig11_speedup_matg,TGAT,MATG,1.0
WK,fig11_speedup_matg,TGAT,ViTeGNN,3.694
WK,fig11_speedup_matg,TGAT,RTGA,2.2605
WK,fig11_speedup_matg,TGAT,TempGNN,0.011
WK,fig11_speedup_matg,APAN,MATG,1.0
WK,fig11_speedup_matg,APAN,ViTeGNN,3.0267
WK,fig11_speedup_matg,APAN,RTGA,2.0517
WK,fig11_speedup_matg,APAN,TempGNN,0.024
MC,fig11_speedup_matg,JODIE,MATG,1.0
MC,fig11_speedup_matg,JODIE,ViTeGNN,0.8395
MC,fig11_speedup_matg,JODIE,RTGA,0.7466
MC,fig11_speedup_matg,JODIE,TempGNN,0.0301
MC,fig11_speedup_matg,TGN,MATG,1.0
MC,fig11_speedup_matg,TGN,ViTeGNN,5.3144
MC,fig11_speedup_matg,TGN,RTGA,4.1927
MC,fig11_speedup_matg,TGN,TempGNN,0.0054
MC,fig11_speedup_matg,TGAT,MATG,1.0
MC,fig11_speedup_matg,TGAT,ViTeGNN,5.3185
MC,fig11_speedup_matg,TGAT,RTGA,4.1976
MC,fig11_speedup_matg,TGAT,TempGNN,0.0054
MC,fig11_speedup_matg,APAN,MATG,1.0
MC,fig11_speedup_matg,APAN,ViTeGNN,4.7036
MC,fig11_speedup_matg,APAN,RTGA,3.7363
MC,fig11_speedup_matg,APAN,TempGNN,0.0211
RT,fig11_speedup_matg,JODIE,MATG,1.0
RT,fig11_speedup_matg,JODIE,ViTeGNN,0.9548
RT,fig11_speedup_matg,JODIE,RTGA,0.8403
RT,fig11_speedup_matg,JODIE,TempGNN,0.0491
RT,fig11_speedup_matg,TGN,MATG,1.0
RT,fig11_speedup_matg,TGN,ViTeGNN,3.8062
RT,fig11_speedup_matg,TGN,RTGA,2.1865
RT,fig11_speedup_matg,TGN,TempGNN,0.005
RT,fig11_speedup_matg,TGAT,MATG,1.0
RT,fig11_speedup_matg,TGAT,ViTeGNN,3.8138
RT,fig11_speedup_matg,TGAT,RTGA,2.1906
RT,fig11_speedup_matg,TGAT,TempGNN,0.005
RT,fig11_speedup_matg,APAN,MATG,1.0
RT,fig11_speedup_matg,APAN,ViTeGNN,3.1902
RT,fig11_speedup_matg,APAN,RTGA,2.1251
RT,fig11_speedup_matg,APAN,TempGNN,0.016
LM,fig11_speedup_matg,JODIE,MATG,1.0
LM,fig11_speedup_matg,JODIE,ViTeGNN,1.0322
LM,fig11_speedup_matg,JODIE,RTGA,0.9006
LM,fig11_speedup_matg,JODIE,TempGNN,0.046
