dataset,figure,model,solution,value
WK,fig12_energy_tempgnn,JODIE,MATG,0.0574
WK,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0594
WK,fig12_energy_tempgnn,JODIE,RTGA,0.0677
WK,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WK,fig12_energy_tempgnn,TGN,MATG,0.011
WK,fig12_energy_tempgnn,TGN,ViTeGNN,0.003
WK,fig12_energy_tempgnn,TGN,RTGA,0.0049
WK,fig12_energy_tempgnn,TGN,TempGNN,1.0
WK,fig12_energy_tempgnn,TGAT,MATG,0.011
WK,fig12_energy_tempgnn,TGAT,ViTeGNN,0.003
WK,fig12_energy_tempgnn,TGAT,RTGA,0.0049
WK,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WK,fig12_energy_tempgnn,APAN,MATG,0.0239
WK,fig12_energy_tempgnn,APAN,ViTeGNN,0.0079
WK,fig12_energy_tempgnn,APAN,RTGA,0.0117
WK,fig12_energy_tempgnn,APAN,TempGNN,1.0
MC,fig12_energy_tempgnn,JODIE,MATG,0.0302
MC,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0357
MC,fig12_energy_tempgnn,JODIE,RTGA,0.0407
MC,fig12_energy_tempgnn,JODIE,TempGNN,1.0
MC,fig12_energy_tempgnn,TGN,MATG,0.0054
MC,fig12_energy_tempgnn,TGN,ViTeGNN,0.001
MC,fig12_energy_tempgnn,TGN,RTGA,0.0013
MC,fig12_energy_tempgnn,TGN,TempGNN,1.0
MC,fig12_energy_tempgnn,TGAT,MATG,0.0054
MC,fig12_energy_tempgnn,TGAT,ViTeGNN,0.001
MC,fig12_energy_tempgnn,TGAT,RTGA,0.0013
MC,fig12_energy_tempgnn,TGAT,TempGNN,1.0
MC,fig12_energy_tempgnn,APAN,MATG,0.0211
MC,fig12_energy_tempgnn,APAN,ViTeGNN,0.0045
MC,fig12_energy_tempgnn,APAN,RTGA,0.0057
MC,fig12_energy_tempgnn,APAN,TempGNN,1.0
RT,fig12_energy_tempgnn,JODIE,MATG,0.0486
RT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0511
RT,fig12_energy_tempgnn,JODIE,RTGA,0.0583
RT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
RT,fig12_energy_tempgnn,TGN,MATG,0.005
RT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0013
RT,fig12_energy_tempgnn,TGN,RTGA,0.0023
RT,fig12_energy_tempgnn,TGN,TempGNN,1.0
RT,fig12_energy_tempgnn,TGAT,MATG,0.005
RT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0013
RT,fig12_energy_tempgnn,TGAT,RTGA,0.0023
RT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
RT,fig12_energy_tempgnn,APAN,MATG,0.0159
RT,fig12_energy_tempgnn,APAN,ViTeGNN,0.005
RT,fig12_energy_tempgnn,APAN,RTGA,0.0075
RT,fig12_energy_tempgnn,APAN,TempGNN,1.0
LM,fig12_energy_tempgnn,JODIE,MATG,0.0457
LM,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0447
LM,fig12_energy_tempgnn,JODIE,RTGA,0.0512
LM,fig12_energy_tempgnn,JODIE,TempGNN,1.0
LM,fig12_energy_tempgnn,TGN,MATG,0.0015
LM,fig12_energy_tempgnn,TGN,ViTeGNN,0.0005
LM,fig12_energy_tempgnn,TGN,RTGA,0.0011
LM,fig12_energy_tempgnn,TGN,TempGNN,1.0
LM,fig12_energy_tempgnn,TGAT,MATG,0.0015
LM,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0005
LM,fig12_energy_tempgnn,TGAT,RTGA,0.0011
LM,fig12_energy_tempgnn,TGAT,TempGNN,1.0
LM,fig12_energy_tempgnn,APAN,MATG,0.005
LM,fig12_energy_tempgnn,APAN,ViTeGNN,0.002
LM,fig12_energy_tempgnn,APAN,RTGA,0.0036
LM,fig12_energy_tempgnn,APAN,TempGNN,1.0
WT,fig12_energy_tempgnn,JODIE,MATG,0.0097
WT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0109
WT,fig12_energy_tempgnn,JODIE,RTGA,0.0125
WT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
WT,fig12_energy_tempgnn,TGN,MATG,0.005
WT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0008
WT,fig12_energy_tempgnn,TGN,RTGA,0.001
WT,fig12_energy_tempgnn,TGN,TempGNN,1.0
WT,fig12_energy_tempgnn,TGAT,MATG,0.005
WT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0008
WT,fig12_energy_tempgnn,TGAT,RTGA,0.001
WT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
WT,fig12_energy_tempgnn,APAN,MATG,0.0153
WT,fig12_energy_tempgnn,APAN,ViTeGNN,0.0026
WT,fig12_energy_tempgnn,APAN,RTGA,0.0032
WT,fig12_energy_tempgnn,APAN,TempGNN,1.0
GT,fig12_energy_tempgnn,JODIE,MATG,0.0451
GT,fig12_energy_tempgnn,JODIE,ViTeGNN,0.0479
GT,fig12_energy_tempgnn,JODIE,RTGA,0.0541
GT,fig12_energy_tempgnn,JODIE,TempGNN,1.0
GT,fig12_energy_tempgnn,TGN,MATG,0.0031
GT,fig12_energy_tempgnn,TGN,ViTeGNN,0.0009
GT,fig12_energy_tempgnn,TGN,RTGA,0.0015
GT,fig12_energy_tempgnn,TGN,TempGNN,1.0
GT,fig12_energy_tempgnn,TGAT,MATG,0.0032
GT,fig12_energy_tempgnn,TGAT,ViTeGNN,0.0009
GT,fig12_energy_tempgnn,TGAT,RTGA,0.0015
GT,fig12_energy_tempgnn,TGAT,TempGNN,1.0
GT,fig12_energy_tempgnn,APAN,MATG,0.0104
GT,fig12_energy_tempgnn,APAN,ViTeGNN,0.0034
GT,fig12_energy_tempgnn,APAN,RTGA,0.0051
GT,fig12_energy_tempgnn,APAN,TempGNN,1.0
AVG,fig12_energy_tempgnn,AVG,MATG,0.0163
AVG,fig12_energy_tempgnn,AVG,ViTeGNN,0.0121
AVG,fig12_energy_tempgnn,AVG,RTGA,0.0144
AVG,fig12_energy_tempgnn,AVG,TempGNN,1.0
